issue,action,item,kind,record_count
chafing,inspected,return line,investigates,1
chafing,inspected,vacuum pump line,investigates,1
chafing,installed,baffling seal,addresses,1
chafing,installed,correct hardware,addresses,1
chafing,installed,oil return line,addresses,1
chafing,installed,rocker drain line,addresses,1
chafing,installed,rtv,addresses,1
chafing,installed,rtv silicone,addresses,1
chafing,installed,silicone,addresses,1
chafing,leak check,oil return line,investigates,1
chafing,replaced,line,addresses,1
chafing,replaced,oil drain line,addresses,1
chafing,replaced,oil line,addresses,1
chafing,replaced,oil return line,addresses,1
chafing,replaced,primer line sleeve,addresses,1
chafing,replaced,tension wire,addresses,1
chafing,replaced,tube,addresses,1
chafing,repositioned,alternator,addresses,1
chafing,repositioned,alternator cooling hose,addresses,1
chafing,repositioned,cooling hose,addresses,1
chafing,repositioned,cylinder,addresses,1
chafing,repositioned,muffler shroud,addresses,1
chafing,repositioned,tie rod,addresses,1
chafing,resafetied,line,addresses,1
chafing,separated,baffle,addresses,1
chafing,separated,drain line,addresses,1
chafing damage,inspected,intake tube,investigates,1
chafing damage,inspected,primer line,investigates,1
chafing through,resafetied,plugs,addresses,1
choke,run up,cylinder,investigates,1
choke,run up,engine,investigates,1
choke,run up,plug,investigates,1
choked,checked,engine,investigates,1
choked,run up,engine,investigates,1
click,started,aircraft,investigates,1
clicking noise,inspected,cabin area,investigates,1
clicking noise,inspected,engine,investigates,1
co level high warning came on,checks,aircraft,investigates,1
co level high warning came on,ran,aircraft,investigates,1
co warning came,ran up,aircraft,investigates,1
cold,leak check,cylinder,investigates,1
cold,leak check,engine,investigates,1
cold,operations,cylinder,investigates,1
cold,operations,engine,investigates,1
coming from exhaust,leak check,aircraft,investigates,1
coming from exhaust,leak check,cylinder,investigates,1
coming from exhaust,operations,aircraft,investigates,1
coming from exhaust,ran,aircraft,investigates,1
coming off,refastened,baffle seal,addresses,1
coming out,cleaned,engine,addresses,1
coming out,ground run,cowling,investigates,1
coming out,leak check,cowling,investigates,1
coming out,ran up,aircraft,investigates,1
coming out,verified,lifting ey,investigates,1
coming out,verified,oil leakage,investigates,1
contact,found,exhaust valve,investigates,1
contact,found,piston,investigates,1
contacted,inspected,exhaust valve,investigates,1
contacted,inspected,piston,investigates,1
contacted,inspected,throttl,investigates,1
corroded,replaced,washer,addresses,1
coughed,ran,engine,investigates,1
coughed often,bore scoped,cylinder,investigates,1
coughed often,bore scoped,plug,investigates,1
coughed often,checked,push rod,investigates,1
coughed often,finished reinstallation,plugs,addresses,1
coughed often,finished reinstallation,rocker cov,addresses,1
coughed often,ground run,,investigates,1
coughed often,installed,exhaust valve,addresses,1
coughed often,installed,push rod,addresses,1
coughed often,ran,engine,investigates,1
coughed often,reinstalled,push rod seals,addresses,1
coughed often,verified,engine,investigates,1
could not restart,started,aircraft,investigates,1
could not start,ground run,engine,investigates,1
could not start,ran,aircraft,investigates,1
could not start,started,both engines,investigates,1
could not start,started,engines,investigates,1
crack,applied,sealant,addresses,1
crack,fabricated,2024 t3 . 040 aluminum,addresses,1
crack,fabricated,baffle,addresses,1
crack,fabricated,doubler,addresses,1
crack,fabricated,like materi,addresses,1
crack,inspected,cylinder,investigates,1
crack,inspected,possible,investigates,1
crack,inspection,cylinder,investigates,1
crack,inspection,paint,investigates,1
crack,installed,,addresses,1
crack,installed,cooling baffle,addresses,1
crack,installed,large,addresses,1
crack,installed,like material,addresses,1
crack,installed,patch same material,addresses,1
crack,installed,washer,addresses,1
crack,observed,cowl,investigates,1
crack,observed,spark plug leads,investigates,1
crack,repaired,,addresses,1
crack,repaired,baffle,addresses,1
crack,replaced,baffle seal,addresses,1
crack,replaced,bracket,addresses,1
crack,replaced,elbow,addresses,1
crack,replaced,section,addresses,1
crack,stop drill,baffle,addresses,1
crack,stop drilled,attach bolt,addresses,1
crack,stop drilled,baffle bracket,addresses,1
crack,stop drilled,baffle center,addresses,1
crack,stop drilled,baffle corner support bracket,addresses,1
crack,stop drilled,baffle patch,addresses,1
crack,stop drilled,baffle seal,addresses,1
crack,stop drilled,baffling bracket,addresses,1
crack,stop drilled,cowling baffle,addresses,1
crack,stop drilled,cylinder baffling,addresses,1
crack,stop drilled,engine,addresses,1
crack,stop drilled,heat inlet,addresses,1
crack,stop drilled,muffler heat muff,addresses,1
crack,stop drilled,ninety out of eighty bracket,addresses,1
crack,stop drilled,oil cooler bolt,addresses,1
crack,stop drilled,oil cooler mounting,addresses,1
crack,stop drilled,upper baffle,addresses,1
crack,stop drilled,washer,addresses,1
crack,stop drilled,wire,addresses,1
crack,verified,cylinder,investigates,1
cracked,assembled,bolt,addresses,1
cracked,began,cylinder,addresses,1
cracked,began,cylinders,addresses,1
cracked,began . replacing,cylinder,addresses,1
cracked,began . replacing,cylinders,addresses,1
cracked,began fabricating,patches,addresses,1
cracked,change,cylinder,investigates,1
cracked,check,,investigates,1
cracked,cleaned,bolt,addresses,1
cracked,cleaned up,edges,addresses,1
cracked,completed installation,cylinder,addresses,1
cracked,compression test,cylinder,investigates,1
cracked,disconnected,oil pressure line,addresses,1
cracked,displaced,oil cooler,addresses,1
cracked,drilled,,addresses,1
cracked,drilled,baffle,addresses,1
cracked,drilled,rivets,addresses,1
cracked,dry tappet clearance check,push rods,investigates,1
cracked,fabricated,,addresses,1
cracked,fabricated,baff,addresses,1
cracked,fabricated,baffle below,addresses,1
cracked,fabricated,baffle bracket,addresses,1
cracked,fabricated,baffle connector plate,addresses,1
cracked,fabricated,baffle patch,addresses,1
cracked,fabricated,baffle support,addresses,1
cracked,fabricated,doubler,addresses,1
cracked,fabricated,like,addresses,1
cracked,fabricated,like mat,addresses,1
cracked,fabricated,like materials,addresses,1
cracked,fabricated,section,addresses,1
cracked,fabricating,like mat,addresses,1
cracked,filled,rudder covers,addresses,1
cracked,filled,two part epoxy,addresses,1
cracked,finished installation,,addresses,1
cracked,finished reassembly,cylinders,addresses,1
cracked,further inspection,part,investigates,1
cracked,inspection,bolt,investigates,1
cracked,installed,baff,addresses,1
cracked,installed,baffle spr,addresses,1
cracked,installed,baffles,addresses,1
cracked,installed,baffling,addresses,1
cracked,installed,cylinder,addresses,1
cracked,installed,cylinder assembly,addresses,1
cracked,installed,doubler,addresses,1
cracked,installed,edges,addresses,1
cracked,installed,exhaust,addresses,1
cracked,installed,intake,addresses,1
cracked,installed,large,addresses,1
cracked,installed,like materal,addresses,1
cracked,installed,patch same material,addresses,1
cracked,installed,patches,addresses,1
cracked,installed,push rod,addresses,1
cracked,installed,push rods,addresses,1
cracked,installed,rocker,addresses,1
cracked,installed,rockers,addresses,1
cracked,installed,sheet metal doubler,addresses,1
cracked,installed,washer,addresses,1
cracked,installed repaired,baffle,addresses,1
cracked,leak and operations check,cylinder,investigates,1
cracked,leak check,engine,investigates,1
cracked,leak check,propeller governor line,investigates,1
cracked,leak check,propeller oil line,investigates,1
cracked,operations,aircraft,investigates,1
cracked,procured,baffle,addresses,1
cracked,reinstalled,baffle,addresses,1
cracked,reinstalled,cylinders,addresses,1
cracked,reinstalled,muffler heat muff,addresses,1
cracked,reinstalled repaired,baffle,addresses,1
cracked,repair,,addresses,1
cracked,repair,baffle,addresses,1
cracked,repaired,,addresses,1
cracked,replaced,air baffle,addresses,1
cracked,replaced,angle bracket,addresses,1
cracked,replaced,angle brackets,addresses,1
cracked,replaced,attach fitting,addresses,1
cracked,replaced,baffle assembly,addresses,1
cracked,replaced,baffle bracket,addresses,1
cracked,replaced,baffle deflector,addresses,1
cracked,replaced,baffle over rocker covers,addresses,1
cracked,replaced,baffle reinforcement angle,addresses,1
cracked,replaced,baffle section,addresses,1
cracked,replaced,baffle tie rod,addresses,1
cracked,replaced,baffling section,addresses,1
cracked,replaced,brace,addresses,1
cracked,replaced,cylinder assembly,addresses,1
cracked,replaced,cylinders,addresses,1
cracked,replaced,deflector,addresses,1
cracked,replaced,intake tube,addresses,1
cracked,replaced,mounting grommets,addresses,1
cracked,replaced,over rocker covers,addresses,1
cracked,replaced,rebuilt assembly,addresses,1
cracked,replaced,rocker covers,addresses,1
cracked,replaced,serviceable baffle assembly,addresses,1
cracked,replaced,serviceable bracket,addresses,1
cracked,replaced,stiffener,addresses,1
cracked,replaced,support bracket,addresses,1
cracked,replacement,cylinder,addresses,1
cracked,replacement,engine,addresses,1
cracked,riveted,,investigates,1
cracked,riveted,like materials,addresses,1
cracked,started creating,,addresses,1
cracked,stop drilled,air intake,addresses,1
cracked,stop drilled,alternator,addresses,1
cracked,stop drilled,alternator mount,addresses,1
cracked,stop drilled,angle brackets,addresses,1
cracked,stop drilled,backbaffle,addresses,1
cracked,stop drilled,baffle bracket,addresses,1
cracked,stop drilled,baffle corner,addresses,1
cracked,stop drilled,baffle support,addresses,1
cracked,stop drilled,below alternator mount,addresses,1
cracked,stop drilled,cooling baffle,addresses,1
cracked,stop drilled,corner baffle,addresses,1
cracked,stop drilled,mount bolt hole,addresses,1
cracked,stop drilled,muffler heat muff,addresses,1
cracked,stop drilled,ninety out of eighty bracket,addresses,1
cracked,stop drilled,oil cooler bolt,addresses,1
cracked,stop drilled,oil cooler flange,addresses,1
cracked,stop drilled,oil cooler mounting,addresses,1
cracked,stop drilled,rudder covers,addresses,1
cracked,stop drilled,sheet metal doubler,addresses,1
cracked,stop drilled,washer,addresses,1
cracked,swapped,accessories,addresses,1
cracked,torqued,,addresses,1
cracks,cleaned,,addresses,1
cracks,cleaned,scat tube,addresses,1
cracks,filled,rudder covers,addresses,1
cracks,filled,two part epoxy,addresses,1
cracks,inspected,baffle,investigates,1
cracks,installed,baffle section,addresses,1
cracks,installed,ninety out of eighty bracket,addresses,1
cracks,painted,patch,investigates,1
cracks,replaced,angle brackets,addresses,1
cracks,stop drilled,baffles,addresses,1
cracks,stop drilled,cylinder,addresses,1
cracks,stop drilled,relief hole,addresses,1
cracks,stop drilled,rudder covers,addresses,1
cut off,started,aircraft,investigates,1
damage,adjusted,adjust clamps,addresses,1
damage,further inspection,air valve,investigates,1
damage,further inspection,carb air valve,investigates,1
damage,further inspection,carb airbox,investigates,1
damage,inspected,compressor blade,investigates,1
damage,inspected,core engine,investigates,1
damage,inspected,cover,investigates,1
damage,inspected,rocke,investigates,1
damage,installed,cylinder assembly,addresses,1
damage,reasssembled,cylinder,addresses,1
damaged,cleaned,,addresses,1
damaged,cleaned,18mm tap,addresses,1
damaged,cleaned,baffling,addresses,1
damaged,cleaned,felt,addresses,1
damaged,cleaned,seals,addresses,1
damaged,cleaned,threads,addresses,1
damaged,completed reassembly,engine,addresses,1
damaged,dressed,ring gear teeth,addresses,1
damaged,inspected,spark plug,investigates,1
damaged,inspected,threads,investigates,1
damaged,inspected,wires,investigates,1
damaged,installed,doubler plates,addresses,1
damaged,installed,magneto,addresses,1
damaged,installed,origin,addresses,1
damaged,installed,ring gear assembly,addresses,1
damaged,leak check,,investigates,1
damaged,repaired,baffle,addresses,1
damaged,repaired,tap,addresses,1
damaged,repaired,threads,addresses,1
damaged,replaced,,addresses,1
damaged,replaced,air inlet,addresses,1
damaged,replaced,baff,addresses,1
damaged,replaced,baffle,addresses,1
damaged,replaced,baffle plu,addresses,1
damaged,replaced,baffle section,addresses,1
damaged,replaced,cowl shock mount,addresses,1
damaged,replaced,grommet,addresses,1
damaged,replaced,oil sump screen,addresses,1
damaged,replaced,parts,addresses,1
damaged,replaced,pins,addresses,1
damaged,replaced,plug,addresses,1
damaged,replaced,plugs,addresses,1
damaged,replaced,riv,addresses,1
damaged,replaced,rivet,addresses,1
damaged,replaced,rivets,addresses,1
damaged,replaced,rocker cover gasket,addresses,1
damaged,replaced,tie rod,addresses,1
damaged,replaced,upper nutplate,addresses,1
damaged,replacement,baffle plug,addresses,1
damaged,rigged,,addresses,1
damaged,torqued,origin,addresses,1
dead,reinstalled,baffle,addresses,1
dead,reinstalled,baffles,addresses,1
dead,replaced,exhaust valve,addresses,1
dead,replaced,valve seat,addresses,1
decreased to zero,cleared,plugs,addresses,1
decreased to zero,idle check,,investigates,1
decreased to zero,operations checked,,investigates,1
decreased to zero,ran up,,investigates,1
dent,replaced,exhaust push tube,addresses,1
did not start,started,aircraft,investigates,1
die,checks,engine,investigates,1
die,ran,aircraft,investigates,1
die,ran,engine,investigates,1
died,adju,engine,addresses,1
died,ground run,engine,investigates,1
died,ground run,engines,investigates,1
died,magneto check,,investigates,1
died,operations checked,engine,investigates,1
died,operations checked,engines,investigates,1
died,ran up,engine,investigates,1
died,warmed up,engine,investigates,1
dirty,cleaned,cooler,addresses,1
dirty,cleaned,cooling fins,addresses,1
dirty,cleaned,impeller,addresses,1
dirty,cleaned,scroll,addresses,1
dirty,cleaned,sniffle valves,addresses,1
dirty,reinstalled,sniffler valves,addresses,1
dirty,replaced,air filter,addresses,1
does not align,trimmed,baffle,addresses,1
does not align,trimmed,seal,addresses,1
does not run,borescop,cylinder,investigates,1
does not run,borescop,engine,investigates,1
does not run,compression test,cylinder,investigates,1
does not run,leak check,aircraft,investigates,1
does not run,operations,aircraft,investigates,1
does not run,replaced,assembly,addresses,1
does not run,replaced,cylinder,addresses,1
does not run,torqued,assembly,investigates,1
does not run,torqued,cylinder,investigates,1
does not run,verified,engine,investigates,1
drop in rpm,ground run,engine,investigates,1
drop in rpm,performed,cylinder,investigates,1
dropped,completed reassembly,engine,addresses,1
dropped,confirmed,aircraft,investigates,1
dropped,leak checked,valves,investigates,1
dropped,ran,aircraft,investigates,1
drops to zero,ground ran,aircraft,investigates,1
drops to zero,operations check,aircraft,investigates,1
drops to zero,replaced,cht probe,addresses,1
ducting rubbing,installed,oil line,addresses,1
ducting rubbing,installed,spiral wrap,addresses,1
eating into,inspected,mounting bolt,investigates,1
eating into,inspected,scroll mount,investigates,1
elaking,replaced,gasket,addresses,1
elongated,installed,,addresses,1
elongated,installed,baffle patch,addresses,1
elongated,installed,baffle plug doubler,addresses,1
elongated,installed,doubler patch,addresses,1
elongated,installed,plug,addresses,1
elongated,riveted,patch,addresses,1
enlarged,fabricated,like material,addresses,1
enlarged,fabricated,patch,addresses,1
enlarged,installed,like material,addresses,1
exceeded,check,,investigates,1
exceeded,downloaded,flight data,investigates,1
exceeded,downloaded,info,investigates,1
exceeded,inspected,propeller,investigates,1
exceeded,reviewed,flight data monitoring card,investigates,1
exceeded,verified,propeller,investigates,1
excessive,installed,number 31 push rod,addresses,1
excessive,lash check,exhaust valve,investigates,1
excessive end play,inspected,throttle cable attachment,investigates,1
excessive vibration,replaced,cylinder assembly,addresses,1
excessive vibration,torqued,cylinder,investigates,1
failed,adjusted,aircraft,addresses,1
failed,break-in flight,cylinder,investigates,1
failed,break-in flight,valve guide,investigates,1
failed,checked,cylinder assembly,investigates,1
failed,clearance check,exhaust valve,investigates,1
failed,completed reassembly,exhaust push rod,addresses,1
failed,completed reassembly,exhaust valve,addresses,1
failed,ground run,aircraft,investigates,1
failed,ground run,cylinder,investigates,1
failed,ground run,engine,investigates,1
failed,ground run,magneto,investigates,1
failed,inspected,engine,investigates,1
failed,installed,alternator,addresses,1
failed,installed,baffle,addresses,1
failed,installed,baffles,addresses,1
failed,leak and operations check,exhaust valve,investigates,1
failed,leak check,aircraft,investigates,1
failed,leak check,magneto,investigates,1
failed,magneto check,,investigates,1
failed,magneto check,aircraft,investigates,1
failed,magneto check,plugs,investigates,1
failed,maintenance break-in flight,exhaust valve,investigates,1
failed,operations,cylinder,investigates,1
failed,operations check,aircraft,investigates,1
failed,override speed check,aircraft,investigates,1
failed,ran,aircraft,investigates,1
failed,ran up,aircraft,investigates,1
failed,reinstalled,cylinder,addresses,1
failed,replace,exhaust push rod,addresses,1
failed,replace,valve guide,addresses,1
failed,replaced,cylinder assembly,addresses,1
failed,replaced,exhaust push rod,addresses,1
failed,run up,engine,investigates,1
failed,started,engine,investigates,1
failed,torqued,injector line,addresses,1
failed,tried,,addresses,1
fails,adjusted,,addresses,1
fails,adjusted,aircraft,addresses,1
fails,checks,aircraft,investigates,1
fails,mixture and idle checks,aircraft,investigates,1
fails,mixture check,,investigates,1
fails,mixture check,aircraft,investigates,1
fails,mixture override check,aircraft,investigates,1
fails,operations check,,investigates,1
failure,idle mixture check,aircraft,investigates,1
failure,idle mixture check,engine,investigates,1
failure,idle mixture check,magneto,investigates,1
failure,inspecte,engine,investigates,1
failure,ran,aircraft,investigates,1
falling,replaced,lancing cord,addresses,1
fan,replaced,baffle plugs,addresses,1
faulty,ground run,magneto,investigates,1
faulty,operations checked,magneto,investigates,1
faulty,ran faulty magneto check,magneto,investigates,1
fingers,replaced,plugs,addresses,1
flame came out,ground run,engine,investigates,1
flame came out,inspected,inlet,investigates,1
flame came out,operations checked,engine,investigates,1
flames,inspected,air intake,investigates,1
flames,inspected,aircraft,investigates,1
flames,inspected,muffler,investigates,1
flames comi,ground run,engine,investigates,1
flames comi,nspected,engine,investigates,1
flames comi,operations checked,engine,investigates,1
fluctuating,inspect,cowling,investigates,1
fluctuating,operations check,aircraft,investigates,1
fluctuating,ran,aircraft,investigates,1
fluctuating,ran up,aircraft,investigates,1
fluctuating,replaced,cht probe,addresses,1
fouled,ran up,aircraft,investigates,1
fouled,ran up,plug,investigates,1
fouled,run up,cylinder,investigates,1
fouled,run up,engine,investigates,1
fouled,run up,plug,investigates,1
gains and drops,ground run,engine,investigates,1
gains and drops,operations checked,engine,investigates,1
galled,installed,push rods,addresses,1
galled,installed,rocker arms,addresses,1
gouged,inspected,alternator,investigates,1
gouged,inspected,alternator belt,investigates,1
gouged,inspected,baffles,investigates,1
gouged,inspected,cylinders,investigates,1
gouged,inspected,engine,investigates,1
gouged,inspected,lock plate,investigates,1
gouged,inspected,oil cooler,investigates,1
gouged,inspected,oil seal,investigates,1
gouged,inspected,pistons,investigates,1
gouged,installed,crankshaft,addresses,1
gouged,installed,oil seal,addresses,1
gouged,leak check,crankshaft,investigates,1
gouged,leak check,engine,investigates,1
gouged,run,engine,investigates,1
gouged,secured,engine,addresses,1
gouged,torqued,crankshaft,investigates,1
gouged,torqued,lock plate,investigates,1
grass,cleaned,grass,addresses,1
grass,cleaned,particle separator,addresses,1
grinding noise,cleaned,fod,addresses,1
head,inspected,head,investigates,1
hesitation/roughness,ran,aircraft,investigates,1
high,checked,aircraft,investigates,1
high,checked,engine,investigates,1
high,ground . ran,aircraft,investigates,1
high,ground . ran,engine,investigates,1
high,operations check,aircraft,investigates,1
high,ran,engine,investigates,1
high frequency vibration,adjusted,,addresses,1
high frequency vibration,completed installation,electrical lines,addresses,1
high frequency vibration,completed installation,fuel,addresses,1
high frequency vibration,completed installation,oil,addresses,1
high frequency vibration,ground run,,investigates,1
high frequency vibration,installed,cowling,addresses,1
high frequency vibration,installed,engine,addresses,1
high frequency vibration,leak check,aircraft,investigates,1
high frequency vibration,operations,aircraft,investigates,1
high frequency vibration,ran up,aircraft,investigates,1
high pitched squealing noise,operations check,aircraft,investigates,1
high pitched squealing noise,ran up,aircraft,investigates,1
"high pitched whine , squeal , wh",ran,aircraft,investigates,1
hitting mount,inspected,center baffle screw,investigates,1
hitting mount,inspected,negligible,investigates,1
hitting mount,inspected,scratch,investigates,1
hoisting loop,leak check,,investigates,1
hoisting loop,sealed,bolt,addresses,1
hoisting loop,torqued,bolt,addresses,1
idles extremely rough,ground run,,investigates,1
idles extremely rough,seasonal adjustment,,addresses,1
idles very irratically,began replacement,fuel injector,addresses,1
idles very irratically,operations check,engine,investigates,1
idles very irratically,replaced,engine,addresses,1
idles very irratically,replaced,fuel pump,addresses,1
idles very irratically,retimed,magnetos,addresses,1
idles very irratically,started,engine,investigates,1
idles very irratically,tried making several idle mixture adjustments,engine,addresses,1
idling too low,adju,engine,addresses,1
idling too low,ground run,engine,investigates,1
increases in volume,ground run,,investigates,1
increases in volume,inspected,,investigates,1
indicates zero,alternators check,,investigates,1
indicates zero,ran,aircraft,investigates,1
inoperable,disconnected,fuel distributor line,investigates,1
inoperable,dry tappet clearance check,cylinder,investigates,1
inoperable,dry tappet clearance check,engine,investigates,1
inoperable,magnetos check,aircraft,investigates,1
inoperable,magnetos check,magneto,investigates,1
inoperable,operations check,egt,investigates,1
inoperable,operations check,lamp,investigates,1
inoperable,operations check,oil temperature light,investigates,1
inoperable,power and leak check,magneto,investigates,1
inoperable,ran,aircraft,investigates,1
inoperable,reassembled,cylinder,addresses,1
inoperable,reassembled,engine,addresses,1
inoperable,reinstalled,lamp,addresses,1
inoperable,replaced,egt probe,addresses,1
inoperable,replaced,starter,addresses,1
jumps into red,cleaned,transducer ground path,addresses,1
jumps into red,fuel pressure checked,,investigates,1
kept hesitating,ground run,engine,investigates,1
kept hesitating,operations checked,engine,investigates,1
killed,run up,aircraft,investigates,1
kinked,replaced,tube,addresses,1
kinked,secured,hose,addresses,1
kinked,unkinked,hose,addresses,1
knocking,inspected,,investigates,1
knocking noise,confirmed,pass down,investigates,1
knocking noise,ran,aircraft,investigates,1
large gouge,replaced,intake pipe,addresses,1
large pool of oil,added,aircraft,addresses,1
large pool of oil,added,oil,addresses,1
large pool of oil,observed,aircraft,investigates,1
large pool of oil,ran,aircraft,investigates,1
large puddle of liquid,ran,aircraft,investigates,1
leak,check,cylinder,investigates,1
leak,cleaned,backbone bolt,addresses,1
leak,cleaned,bolt holes,addresses,1
leak,cleaned,bolts,addresses,1
leak,cleaned,intake gaskets,addresses,1
leak,cleaned,intake tube,addresses,1
leak,cleaned,rocker covers,addresses,1
leak,cleaned,tube,addresses,1
leak,completed removal,aircraft,addresses,1
leak,completed removal,engine,addresses,1
leak,connected,engine,investigates,1
leak,found,exhaust valve,investigates,1
leak,found,piston,investigates,1
leak,further inspection,intake tube,investigates,1
leak,ground run leak check,intake tube,investigates,1
leak,inspected,cylinder,investigates,1
leak,inspected,engine,investigates,1
leak,installed,,addresses,1
leak,installed,engine,addresses,1
leak,installed,gaskets,addresses,1
leak,installed,intake gasket,addresses,1
leak,installed,rocker box cover gasket,addresses,1
leak,leak check,,investigates,1
leak,leak check,aircraft,investigates,1
leak,leak check,backbone,investigates,1
leak,leak check,backbone case seam,investigates,1
leak,leak check,baffle brackets,investigates,1
leak,leak check,bolt,investigates,1
leak,leak check,oil,investigates,1
leak,leak check,rocker covers,investigates,1
leak,operations,aircraft,investigates,1
leak,ran,engine,investigates,1
leak,reinstalled,cowli,addresses,1
leak,reinstalled,cylinder,addresses,1
leak,replaced,crankshaft,addresses,1
leak,replaced,oil seal,addresses,1
leak,replaced,rocker cover gasket,addresses,1
leak,replaced,rocker covers gaskets,addresses,1
leak,resafetied,,addresses,1
leak,resealed,bolt holes,addresses,1
leak,resealed,bolts,addresses,1
leak,resealed,hoisting ring bolt,addresses,1
leak,resealed,ring bolt,addresses,1
leak,reswedged,intake connector,addresses,1
leak,reswedged,oil sump,addresses,1
leak,reswedged,sump,addresses,1
leak,sealed,backbone bolt,addresses,1
leak,sealed,lifting bracket case half bolt,addresses,1
leak,serviced,aircraft,addresses,1
leak,serviced,aircraft,investigates,1
leak,serviced,engine,addresses,1
leak,serviced,engine,investigates,1
leak,serviced,mineral oil,addresses,1
leak,serviced,mineral oil,investigates,1
leak,tightened,bolts,addresses,1
leak,torqued,cylinder,addresses,1
leak,torqued,hoisting ring bolt,addresses,1
leak,torqued,ring bolt,addresses,1
leak,washed,engine,addresses,1
leakage,replaced,gasket,addresses,1
leaki,inspected,rocker cover gaskets,investigates,1
leakin,leak check,,investigates,1
leaking,applied,high temperature rtb,addresses,1
leaking,began replacement,cylinder,addresses,1
leaking,chased threads,intake port,investigates,1
leaking,chased threads,threads,investigates,1
leaking,cleaned,backbone bolts,addresses,1
leaking,cleaned,bolt hole,addresses,1
leaking,cleaned,case,addresses,1
leaking,cleaned,collar,addresses,1
leaking,cleaned,covers,addresses,1
leaking,cleaned,cylinder flange,addresses,1
leaking,cleaned,fuel stains,addresses,1
leaking,cleaned,gasket material,addresses,1
leaking,cleaned,gasket off,addresses,1
leaking,cleaned,plug,addresses,1
leaking,cleaned,propeller bolts,addresses,1
leaking,cleaned,rocker box cover,addresses,1
leaking,cleaned,rocker cover,addresses,1
leaking,cleaned,rocker cover gasket,addresses,1
leaking,cleaned,seal,addresses,1
leaking,cleaned,silicone,addresses,1
leaking,cleaned,silicone gask,addresses,1
leaking,cleaned,silicone gasket,addresses,1
leaking,cleaned,tube,addresses,1
leaking,cleaned,tubes,addresses,1
leaking,confirmed,engine,investigates,1
leaking,confirmed,intake tube,investigates,1
leaking,deterimed,intake flanges,investigates,1
leaking,dressed,propeller,addresses,1
leaking,found,governor,investigates,1
leaking,found,lift ring bolt,investigates,1
leaking,further inspection,intake tube,investigates,1
leaking,ground seat,cylinder,addresses,1
leaking,ground seat,cylinder,investigates,1
leaking,ground seat,exhaust valve,addresses,1
leaking,ground seat,exhaust valve,investigates,1
leaking,honed,cylinder,addresses,1
leaking,inspected,,investigates,1
leaking,inspected,aircraft,investigates,1
leaking,inspected,gasket,investigates,1
leaking,inspected,intake tube,investigates,1
leaking,inspected,rocker gasket,investigates,1
leaking,inspected,sniffler valves,investigates,1
leaking,inspection,bolts,investigates,1
leaking,installed,case,addresses,1
leaking,installed,crankcase seal,addresses,1
leaking,installed,cylinder baffle,addresses,1
leaking,installed,high temperature silicone,addresses,1
leaking,installed,indication tube gaskets,addresses,1
leaking,installed,induction gasket,addresses,1
leaking,installed,intake flange,addresses,1
leaking,installed,intake pipes,addresses,1
leaking,installed,intake tube gaskets,addresses,1
leaking,installed,piston,addresses,1
leaking,installed,propeller,addresses,1
leaking,installed,push rod tube,addresses,1
leaking,installed,ring gear,addresses,1
leaking,installed,rocker cover gasket,addresses,1
leaking,installed,rocker covers,addresses,1
leaking,installed,rockers,addresses,1
leaking,installed,seals,addresses,1
leaking,installed,silicone,addresses,1
leaking,installed,silicone gasket,addresses,1
leaking,installed,silicone gaskets,addresses,1
leaking,installed,spring,addresses,1
leaking,installed,valve cover gaskets,addresses,1
leaking,installed,valve covers,addresses,1
leaking,leak check,aircraft,investigates,1
leaking,leak check,case bolt,investigates,1
leaking,leak check,case plug,investigates,1
leaking,leak check,center case bolt,investigates,1
leaking,leak check,clamps,investigates,1
leaking,leak check,cowl,investigates,1
leaking,leak check,crankcase lifting eyebolt,investigates,1
leaking,leak check,cylinder,investigates,1
leaking,leak check,exhaust va,investigates,1
leaking,leak check,lifting eye,investigates,1
leaking,leak check,oil plug,investigates,1
leaking,leak check,oil return line,investigates,1
leaking,leak check,oil return lines,investigates,1
leaking,leak check,oil seal,investigates,1
leaking,leak check,"push rod , exhaust , housing gasket",investigates,1
leaking,leak check,push rod seals,investigates,1
leaking,leak check,rocker cover gaskets,investigates,1
leaking,leak check,rocker covers,investigates,1
leaking,leak check,seal,investigates,1
leaking,leak check,seals,investigates,1
leaking,leak check,spine,investigates,1
leaking,leak checked,,investigates,1
leaking,leak checked,ring,investigates,1
leaking,leak checked,valves,investigates,1
leaking,observed,valves,investigates,1
leaking,ok,,addresses,1
leaking,operations,,investigates,1
leaking,operations,aircraft,investigates,1
leaking,operations,case plug,investigates,1
leaking,ordered,intake tube,addresses,1
leaking,ran,,investigates,1
leaking,readjusted,clamp,addresses,1
leaking,reinstalled,,addresses,1
leaking,reinstalled,bolt,addresses,1
leaking,reinstalled,carb heat box,addresses,1
leaking,reinstalled,cowl,addresses,1
leaking,reinstalled,cowli,addresses,1
leaking,reinstalled,flywheel,addresses,1
leaking,reinstalled,gasket,addresses,1
leaking,reinstalled,muffler assembly,addresses,1
leaking,reinstalled,oil sump,addresses,1
leaking,reinstalled,rocker cover,addresses,1
leaking,repairced,intake gasket,addresses,1
leaking,replac,seal,addresses,1
leaking,replace,gasket,addresses,1
leaking,replace,gaskets,addresses,1
leaking,replaced,29 push rod,addresses,1
leaking,replaced,bolt,addresses,1
leaking,replaced,clinders,addresses,1
leaking,replaced,cover gasket,addresses,1
