item,issue,issue_type,record_count
intake push rod seal,leaking,ABN_PROC,1
lift ring bolt,leaking,ABN_PROC,1
lifting bracket case half bolt,leaking,ABN_PROC,1
lifting eye bolt,leaking,ABN_PROC,1
oil cooler,leaking,ABN_PROC,1
oil sump,leaking,ABN_PROC,1
oil sump connection area,leaking,ABN_PROC,1
possible,leaking,ABN_PROC,1
push rod seals,leaking,ABN_PROC,1
push rod tube,leaking,ABN_PROC,1
push rod tube seal,leaking,ABN_PROC,1
rocker arm cover,leaking,ABN_PROC,1
rocker box,leaking,ABN_PROC,1
rocker box gasket,leaking,ABN_PROC,1
rocker cover cylinder,leaking,ABN_PROC,1
rocker cover drain hose clamps,leaking,ABN_PROC,1
rocker cover gaskets cylinder,leaking,ABN_PROC,1
rocker drain line,leaking,ABN_PROC,1
rocker oil return lines,leaking,ABN_PROC,1
rockers,leaking,ABN_PROC,1
rubber hose section,leaking,ABN_PROC,1
sniffler valve,leaking,ABN_PROC,1
vacuum adapter gasket,leaking,ABN_PROC,1
cylinder,leaking past,ABN_PROC,1
bolt,leaks,ABN_PROC,1
clamp,leaks,ABN_PROC,1
cylinder intake,leaks,ABN_PROC,1
intake flanges,leaks,ABN_PROC,1
rocker box cover gasket,leaks,ABN_PROC,1
rocker gasket,leaks,ABN_PROC,1
intake valve,leaky,ABN_PROC,1
engine,little rough,ABN_PROC,1
adel clamp,loose,FAULT,1
adel clamps,loose,FAULT,1
alternator belt,loose,FAULT,1
attach bolt,loose,FAULT,1
b nuts,loose,FAULT,1
baffle attach bracket,loose,FAULT,1
baffle attachment tab,loose,FAULT,1
baffle bolt safeties,loose,FAULT,1
baffle connection rod,loose,FAULT,1
baffle material,loose,FAULT,1
baffle rod,loose,FAULT,1
baffle seal section,loose,FAULT,1
baffle support screw,loose,FAULT,1
baffle tab rivets,loose,FAULT,1
baffle tie rod spacer,loose,FAULT,1
baffle wire,loose,FAULT,1
baffling mount bracket,loose,FAULT,1
bearing,loose,FAULT,1
black baffle seal,loose,FAULT,1
cable,loose,FAULT,1
cable sheath,loose,FAULT,1
cap,loose,FAULT,1
carb airbox,loose,FAULT,1
carb heat box arm,loose,FAULT,1
carb heat bracket,loose,FAULT,1
center baffle seal,loose,FAULT,1
cotter pin,loose,FAULT,1
cowl cam lock,loose,FAULT,1
cowl seals,loose,FAULT,1
cylinder,loose,FAULT,1
cylinder drain line b nuts,loose,FAULT,1
dog bone,loose,FAULT,1
engine,loose,FAULT,1
fastener,loose,FAULT,1
fireseal,loose,FAULT,1
firewall,loose,FAULT,1
foam seal,loose,FAULT,1
fuel control unit,loose,FAULT,1
fuel line support bracket,loose,FAULT,1
grounding points,loose,FAULT,1
hoist loop bolt,loose,FAULT,1
intake,loose,FAULT,1
intake bolts,loose,FAULT,1
intake clamp,loose,FAULT,1
intake clamps,loose,FAULT,1
intake hose clamps,loose,FAULT,1
intake screen,loose,FAULT,1
lacing cord,loose,FAULT,1
manifold pressure fitting,loose,FAULT,1
mixture linkage,loose,FAULT,1
nuts,loose,FAULT,1
oil dipstick,loose,FAULT,1
oil dipstick oil stick,loose,FAULT,1
oil dipstick tubes,loose,FAULT,1
oil fill tube,loose,FAULT,1
oil return like clamps,loose,FAULT,1
oil return lines,loose,FAULT,1
oil stick,loose,FAULT,1
oil tube drain lines,loose,FAULT,1
output wire,loose,FAULT,1
plugs,loose,FAULT,1
plugs safety,loose,FAULT,1
plugs safety wire,loose,FAULT,1
pop rivet,loose,FAULT,1
pop rivets,loose,FAULT,1
propeller governors,loose,FAULT,1
push rod tube,loose,FAULT,1
rocker box cover screw,loose,FAULT,1
rubber seal,loose,FAULT,1
safeties,loose,FAULT,1
safety wire,loose,FAULT,1
section,loose,FAULT,1
spark plug cap,loose,FAULT,1
standoff,loose,FAULT,1
tabs,loose,FAULT,1
temperature probe,loose,FAULT,1
throttle,loose,FAULT,1
throttle linkage dog bone,loose,FAULT,1
tie rod,loose,FAULT,1
trunnion bolt,loose,FAULT,1
upper baffle,loose,FAULT,1
valve covers,loose,FAULT,1
washer,loose,FAULT,1
weather stripping,loose,FAULT,1
engine,lost,ABN_PROC,1
engine,loud knock,ABN_PROC,1
engine,loud sound,ABN_PROC,1
aircraft,low,FAULT,1
helicopter,low power,ABN_PROC,1
cylinder,lower,FAULT,1
cowling,major shaking,ABN_PROC,1
spiral wrap,melted,FAULT,1
oil filter,metal found,FAULT,1
snap ring,miss,FAULT,1
baffle barrel nut,missing,FAULT,1
baffle bracket screw,missing,FAULT,1
baffle hardware,missing,FAULT,1
baffle mount screw,missing,FAULT,1
baffle support bracket,missing,FAULT,1
baffle tie rod,missing,FAULT,1
baffling,missing,FAULT,1
bracket screw,missing,FAULT,1
brake,missing,FAULT,1
cap screw,missing,FAULT,1
carb heat valve,missing,FAULT,1
connecting upper ends,missing,FAULT,1
cowl cam lock,missing,FAULT,1
cowl seal,missing,FAULT,1
crankcase spin bolt,missing,FAULT,1
exhaust push rod tube,missing,FAULT,1
exhaust stack,missing,FAULT,1
grommet,missing,FAULT,1
inspection panel,missing,FAULT,1
lock washer,missing,FAULT,1
mount bolt,missing,FAULT,1
muffler,missing,FAULT,1
oil psi switch wiring grommet,missing,FAULT,1
rivet head,missing,FAULT,1
rocker box cover screw,missing,FAULT,1
rocker cover screws,missing,FAULT,1
rocker screw,missing,FAULT,1
rubber plug,missing,FAULT,1
spark plug access plug,missing,FAULT,1
spring washer,missing,FAULT,1
starter ring gear,missing,FAULT,1
tie wrap,missing,FAULT,1
upper ends,missing,FAULT,1
aircraft,momentary rpm drop aroun,ABN_PROC,1
cht gauge,moves erratically,ABN_PROC,1
1 st stage comp blade,nicked,FAULT,1
compressor blade,nicked,FAULT,1
exhaust rocker,nicked,FAULT,1
egt,no,FAULT,1
cylinder,no cylinder compression note,FAULT,1
engine,no egt,FAULT,1
cylinder,no egt indictaed,FAULT,1
engine,no rise,FAULT,1
cowling,no smoothness,FAULT,1
plugs,no tem,FAULT,1
outboard bolt,no threads showing,FAULT,1
rocker drain lines,no torque seal,FAULT,1
auto re - ignition,not activate,FAULT,1
baffle rubber seal,not attached,FAULT,1
baffle seal,not attached,FAULT,1
wiring clamp,not attached,FAULT,1
baffle,not behind,FAULT,1
baffle wire,not connected,FAULT,1
oil pressure sender ground strap,not connected,FAULT,1
air intake hose,not hooked up,FAULT,1
baffle tie rod,not hooked up,FAULT,1
engine,not producing fu,ABN_PROC,1
engine,not rubbing,FAULT,1
engine,not running,FAULT,1
cowl seal,not sealing,FAULT,1
baffle tie wires,not secured,FAULT,1
oil cooler hose,not secured,FAULT,1
magneto,not within tolerance,FAULT,1
oil,numerous specks of non - ferrous metal,FAULT,1
intake tubes,oil found,ABN_PROC,1
filter housing,oil leak,ABN_PROC,1
intake,oil leak,ABN_PROC,1
lift bolt,oil leak,ABN_PROC,1
nuts,oil leak,ABN_PROC,1
carb airbox,on fire,ABN_PROC,1
baffle plug,out,FAULT,1
cylinder,out of limits,FAULT,1
number 29 push rods,out of limits,FAULT,1
baffle inner tie,out of place,FAULT,1
baffle seal,out of place,FAULT,1
spring,out of place,FAULT,1
line,out of way,FAULT,1
engine,over reved,ABN_PROC,1
engine,over temperature,FAULT,1
propeller,overspe,ABN_PROC,1
fdm data,overspeed,ABN_PROC,1
governor washer,overspeed,ABN_PROC,1
possible engine,overspeed,ABN_PROC,1
engine,overspeed 2750,ABN_PROC,1
engine,overspeed generally,ABN_PROC,1
propeller,ovespeed,ABN_PROC,1
baffle seal,pulled free,FAULT,1
baffle spring,pulled through,FAULT,1
baffle tie rod,pulled through,FAULT,1
spring,pulled through,FAULT,1
rivets,pulling through,ABN_PROC,1
engines,ran very rough,ABN_PROC,1
egt,red x,FAULT,1
aircraft,reduction in power,ABN_PROC,1
mountin,ripped,FAULT,1
rubber baffle,ripped,FAULT,1
could use,rough,ABN_PROC,1
cylinder,rough,ABN_PROC,1
magneto,rough,ABN_PROC,1
propeller could use,rough,ABN_PROC,1
engine,rough operation,ABN_PROC,1
aircraft,rough vibra,ABN_PROC,1
engine,roughne,ABN_PROC,1
engine,rpm drop,ABN_PROC,1
aircraft,rpm dropped,ABN_PROC,1
rotor,rpm dropped,ABN_PROC,1
aircraft,rpm dropped normally,ABN_PROC,1
adel clamp,rubbing,ABN_PROC,1
baffle tie wire,rubbing,ABN_PROC,1
clamp,rubbing,ABN_PROC,1
cylinder,rubbing,ABN_PROC,1
drain tube,rubbing,ABN_PROC,1
ducting,rubbing,ABN_PROC,1
intake tube,rubbing,ABN_PROC,1
muffler,rubbing,ABN_PROC,1
oil psi line,rubbing,ABN_PROC,1
oil return line,rubbing,ABN_PROC,1
oil return line ho,rubbing,ABN_PROC,1
push rod tube,rubbing,ABN_PROC,1
lowest part,rubbing diagonal,ABN_PROC,1
oil cooler line,rubbing together,ABN_PROC,1
engine,run rough anytim,ABN_PROC,1
engine,run rough momentarily,ABN_PROC,1
engine,running extremely roug,ABN_PROC,1
cylinder,running rough,ABN_PROC,1
cylinder,running very clean,ABN_PROC,1
engine,runs,ABN_PROC,1
engine,runs very rough,ABN_PROC,1
push rod end,scored,FAULT,1
push rods,scored,FAULT,1
rocker,scored,FAULT,1
rocker arm,scored,FAULT,1
baffle,scratch,FAULT,1
seal,seal black,MAINT_ITEM,1
backbone bolts,seeping,ABN_PROC,1
intake gasket,seeping,ABN_PROC,1
rocker box covers,seeping,ABN_PROC,1
rocker cover gasket,seeping,ABN_PROC,1
rocker cover gaskets,seeping,ABN_PROC,1
top,seeping,ABN_PROC,1
magneto,shaking,ABN_PROC,1
baffle rivet head,sheared,FAULT,1
baffle rivets,sheared,FAULT,1
mount bracket,sheared,FAULT,1
tab,sheared,FAULT,1
rivet,sheared off,FAULT,1
rivet head,sheared off,FAULT,1
rivets,sheared off,FAULT,1
engine,shutdown when,ABN_PROC,1
engine,shuttered,ABN_PROC,1
engine,significant vibratio,ABN_PROC,1
aircraft,sitting,ABN_PROC,1
valve,slight drop in rpm,ABN_PROC,1
engine,slight fluctuations,ABN_PROC,1
rocker drain lines,slightly loose,FAULT,1
servo,sloppy,ABN_PROC,1
throttle linkage,sloppy,ABN_PROC,1
piston,smiled,FAULT,1
engine,smoking,ABN_PROC,1
engine,smoothed out,ABN_PROC,1
engine,some noise,ABN_PROC,1
fuel pump cam,spalling,ABN_PROC,1
baffle,split,FAULT,1
rocker cover gasket,split,FAULT,1
engine,sput,ABN_PROC,1
engine,sputter,ABN_PROC,1
throttle,sputter,ABN_PROC,1
engine,sputtering noise,ABN_PROC,1
rocker cover gasket,squeezed out,ABN_PROC,1
baffle seal,staple pulled through,FAULT,1
engine,started but ran very rough,ABN_PROC,1
engine,started making abnormal sound,ABN_PROC,1
engine,started to ru,ABN_PROC,1
aircraft,started to smell heavy fumes,ABN_PROC,1
intake,step,FAULT,1
cylinder,sticking,ABN_PROC,1
engine,sticking,ABN_PROC,1
battery,still showing discharge,ABN_PROC,1
intake bolt hole,stripped,FAULT,1
screws,stuck,FAULT,1
engine,surging,ABN_PROC,1
engine,tapping,ABN_PROC,1
baffle seal,tear,FAULT,1
high temperature silicone,tear,FAULT,1
baffle seal,tearing off,ABN_PROC,1
engine,ticking,ABN_PROC,1
aircraft,ticking / chirping noise,ABN_PROC,1
baffle screw,tight,FAULT,1
exhaust valve,tight,FAULT,1
oil cooler,timed out,FAULT,1
adel clamp,too large,FAULT,1
baffle plug hole,too large,FAULT,1
intake push rod,too long,ABN_PROC,1
ring gear,too many damaged,FAULT,1
lifter clearance,too tight,ABN_PROC,1
adel clamp,torn,FAULT,1
air intake tubing,torn,FAULT,1
baffle,torn,FAULT,1
baffle grommet,torn,FAULT,1
baffle material,torn,FAULT,1
cowl mounts,torn,FAULT,1
cowl shock mounts,torn,FAULT,1
cylinder,torn,FAULT,1
grommet,torn,FAULT,1
primer line sleeve,torn,FAULT,1
rubber baffle seal,torn,FAULT,1
seal,torn,FAULT,1
baffle seal,torn loose,FAULT,1
fastener,torn loose,FAULT,1
engine,uncommanded increase,ABN_PROC,1
intake o - ring,unseated,FAULT,1
baffling seal,unsecured,ACTION,1
cowl seal,unsecured,ACTION,1
baffle seal,unserviceable,FAULT,1
wiring,unsupported,ABN_PROC,1
engine,unusual indication,FAULT,1
aircraft,vibration,ABN_PROC,1
cylinder,vibration,ABN_PROC,1
magneto,vibration,ABN_PROC,1
engine,vibration noise,ABN_PROC,1
engine,wants to die,ABN_PROC,1
air door spring,weak,FAULT,1
engine breather support,wear,FAULT,1
seal,wear,FAULT,1
baffle seals,wear marks,FAULT,1
air intake camlocks,wearing,ABN_PROC,1
baffle seal,wearing,ABN_PROC,1
baffle tie rod,wearing,ABN_PROC,1
black cowling seal,wearing,ABN_PROC,1
black seal,wearing,ABN_PROC,1
cowl seal,wearing,ABN_PROC,1
intake filter,wearing,ABN_PROC,1
intake air filter frame,wearing into,ABN_PROC,1
seal,wearing into,ABN_PROC,1
air induction elbow,weeping fuel,ABN_PROC,1
plugs,wet with oil,FAULT,1
aircraft,whistling noise,ABN_PROC,1
bolt,will not loosen,ABN_PROC,1
engine,will not make enough,ABN_PROC,1
aircraft,will not make power,ABN_PROC,1
aircraft,will not start,ABN_PROC,1
engine,will not start,ABN_PROC,1
left engine,will not start hot,ABN_PROC,1
engine,won ' t start,ABN_PROC,1
rocker cover screw,won ' t tighten,ABN_PROC,1
access button,worn,FAULT,1
air door,worn,FAULT,1
air intake,worn,FAULT,1
airbox bushings,worn,FAULT,1
baffle access hole,worn,FAULT,1
baffle black seal,worn,FAULT,1
baffle button plug,worn,FAULT,1
baffle insp hole,worn,FAULT,1
baffle snap plug hole,worn,FAULT,1
baffle spark plug caps,worn,FAULT,1
baffle spark plug hole covers,worn,FAULT,1
baffle tie,worn,FAULT,1
baffling,worn,FAULT,1
baffling plug,worn,FAULT,1
black cowling seal,worn,FAULT,1
brake linings,worn,FAULT,1
button plug,worn,FAULT,1
button plug hole,worn,FAULT,1
clip,worn,FAULT,1
cowl,worn,FAULT,1
exhaust valve,worn,FAULT,1
grommet,worn,FAULT,1
guide,worn,FAULT,1
intake,worn,FAULT,1
intake filter housing,worn,FAULT,1
intake tube,worn,FAULT,1
oil baffle cooler bracket,worn,FAULT,1
piece,worn,FAULT,1
plugs,worn,FAULT,1
rocker shaft plug,worn,FAULT,1
rubber,worn,FAULT,1
seal support,worn,FAULT,1
seals,worn,FAULT,1
sniffler valve,worn,FAULT,1
spark plugs,worn,FAULT,1
thrust button,worn,FAULT,1
thrust buttons,worn,FAULT,1
upper baffling,worn,FAULT,1
baffle center section,worn through,FAULT,1
rivets,worn through,FAULT,1
engine,would fluctuate,ABN_PROC,1
engine,would increase significantly,ABN_PROC,1
aircraft,would intermittently lose,ABN_PROC,1
aircraft,would not increase,ABN_PROC,1
engine,would not increase,ABN_PROC,1
left door,would not latch,ABN_PROC,1
engine,would not stabilize,ABN_PROC,1
aircraft,would not start,ABN_PROC,1
cowl flap,would not stay open,ABN_PROC,1
engine,would quit,ABN_PROC,1
aircraft,would rise,ABN_PROC,1
engine,would shutdown,ABN_PROC,1
aircraft,would start to quit,ABN_PROC,1
starter,would turn twice,ABN_PROC,1
engine,wouldn ' t adjust,FAULT,1
aircraft,wouldn ' t start,ABN_PROC,1
washer,wrong position,FAULT,1
