node_id,label,type,mention_count,record_count
MAINT_ITEM:oil dipstick tube,oil dipstick tube,MAINT_ITEM,5,5
MAINT_ITEM:oil fill tube,oil fill tube,MAINT_ITEM,5,5
MAINT_ITEM:part,part,MAINT_ITEM,7,5
MAINT_ITEM:possible,possible,MAINT_ITEM,5,5
MAINT_ITEM:push rod seals,push rod seals,MAINT_ITEM,5,5
MAINT_ITEM:rings,rings,MAINT_ITEM,5,5
MAINT_ITEM:rocker box,rocker box,MAINT_ITEM,5,5
MAINT_ITEM:rocker box cover,rocker box cover,MAINT_ITEM,5,5
MAINT_ITEM:sprayer nozzle,sprayer nozzle,MAINT_ITEM,5,5
MAINT_ITEM:threads,threads,MAINT_ITEM,8,5
MAINT_ITEM:tip,tip,MAINT_ITEM,5,5
MAINT_ITEM:valve cover gaskets,valve cover gaskets,MAINT_ITEM,7,5
MAINT_ITEM:valve covers,valve covers,MAINT_ITEM,6,5
OP_CTX:after takeoff,after takeoff,OP_CTX,5,5
OP_CTX:during auto recovery,during auto recovery,OP_CTX,5,5
OP_CTX:during cruise,during cruise,OP_CTX,5,5
OP_CTX:during engine start,during engine start,OP_CTX,5,5
OP_CTX:during steep turns,during steep turns,OP_CTX,5,5
OP_CTX:full power,full power,OP_CTX,5,5
OP_CTX:in straight and level flight,in straight and level flight,OP_CTX,5,5
OP_CTX:in traffic pattern,in traffic pattern,OP_CTX,5,5
OUTCOME:unable to duplicate discrepancy,unable to duplicate discrepancy,OUTCOME,5,5
REFERENCE:lycoming overhaul,lycoming overhaul,REFERENCE,5,5
REFERENCE:lycoming overhaul manual,lycoming overhaul manual,REFERENCE,5,5
TECH_OBS:1800 rpm,1800 rpm,TECH_OBS,5,5
TECH_OBS:3500,3500,TECH_OBS,5,5
"TECH_OBS:compression , thirty out of","compression , thirty out of",TECH_OBS,5,5
TECH_OBS:less than five percent,less than five percent,TECH_OBS,5,5
TECH_OBS:manufacturer,manufacturer,TECH_OBS,5,5
TECH_OBS:two,two,TECH_OBS,5,5
ABN_PROC:could not start,could not start,ABN_PROC,4,4
ABN_PROC:idles very irratically,idles very irratically,ABN_PROC,4,4
ABN_PROC:smoked out,smoked out,ABN_PROC,4,4
ACTION:added,added,ACTION,4,4
ACTION:assembled,assembled,ACTION,4,4
ACTION:attempted to start,attempted to start,ACTION,4,4
ACTION:borescoped,borescoped,ACTION,4,4
ACTION:clearance check,clearance check,ACTION,4,4
ACTION:complied,complied,ACTION,4,4
ACTION:finished installation,finished installation,ACTION,4,4
ACTION:finished installing,finished installing,ACTION,4,4
ACTION:fogged,fogged,ACTION,5,4
ACTION:leak and operations check,leak and operations check,ACTION,4,4
ACTION:loosened,loosened,ACTION,4,4
ACTION:measured,measured,ACTION,4,4
ACTION:reconnected,reconnected,ACTION,4,4
ACTION:replaced replaced,replaced replaced,ACTION,4,4
ACTION:researched,researched,ACTION,4,4
ACTION:reswedged,reswedged,ACTION,5,4
ACTION:retrieved,retrieved,ACTION,4,4
ACTION:stripped,stripped,ACTION,4,4
ACTION:swedged,swedged,ACTION,4,4
ACTION:timed,timed,ACTION,4,4
FAULT:bad compression,bad compression,FAULT,4,4
FAULT:elongated,elongated,FAULT,4,4
FAULT:several cracks,several cracks,FAULT,4,4
FAULT:tight,tight,FAULT,4,4
FAULT:wear,wear,FAULT,4,4
LOC:connection point,connection point,LOC,4,4
LOC:left aft,left aft,LOC,4,4
LOC:number one and number three side,number one and number three side,LOC,4,4
"LOC:number two , and number one","number two , and number one",LOC,4,4
LOC:number two side,number two side,LOC,4,4
"LOC:one , two , and four","one , two , and four",LOC,4,4
"LOC:one , two and four","one , two and four",LOC,5,4
LOC:top and bottom,top and bottom,LOC,4,4
MAINT_ITEM:airframe,airframe,MAINT_ITEM,4,4
MAINT_ITEM:baffle assembly,baffle assembly,MAINT_ITEM,4,4
MAINT_ITEM:baffle button plug,baffle button plug,MAINT_ITEM,4,4
MAINT_ITEM:baffle connecting rod,baffle connecting rod,MAINT_ITEM,5,4
MAINT_ITEM:baffle material,baffle material,MAINT_ITEM,6,4
MAINT_ITEM:baffle seal rivet,baffle seal rivet,MAINT_ITEM,4,4
MAINT_ITEM:baffle tie rods,baffle tie rods,MAINT_ITEM,5,4
MAINT_ITEM:buttons,buttons,MAINT_ITEM,4,4
MAINT_ITEM:connecting rod exchange,connecting rod exchange,MAINT_ITEM,4,4
MAINT_ITEM:core engine,core engine,MAINT_ITEM,4,4
MAINT_ITEM:cylinder base,cylinder base,MAINT_ITEM,4,4
MAINT_ITEM:data plate,data plate,MAINT_ITEM,5,4
MAINT_ITEM:drain line,drain line,MAINT_ITEM,6,4
MAINT_ITEM:drain tube,drain tube,MAINT_ITEM,4,4
MAINT_ITEM:edges,edges,MAINT_ITEM,4,4
MAINT_ITEM:engine assembly,engine assembly,MAINT_ITEM,5,4
MAINT_ITEM:engine baffling,engine baffling,MAINT_ITEM,5,4
MAINT_ITEM:exhaust guide,exhaust guide,MAINT_ITEM,4,4
MAINT_ITEM:exhaust push rod seal,exhaust push rod seal,MAINT_ITEM,5,4
MAINT_ITEM:exhaust rocker,exhaust rocker,MAINT_ITEM,4,4
MAINT_ITEM:fdm card data,fdm card data,MAINT_ITEM,4,4
MAINT_ITEM:forward stage nozzle,forward stage nozzle,MAINT_ITEM,4,4
MAINT_ITEM:hose clamp,hose clamp,MAINT_ITEM,6,4
MAINT_ITEM:inlet,inlet,MAINT_ITEM,4,4
MAINT_ITEM:lifters,lifters,MAINT_ITEM,4,4
MAINT_ITEM:lock washer,lock washer,MAINT_ITEM,5,4
MAINT_ITEM:ninety out of eighty bracket,ninety out of eighty bracket,MAINT_ITEM,4,4
MAINT_ITEM:oil cooler hose,oil cooler hose,MAINT_ITEM,4,4
MAINT_ITEM:oil drain line,oil drain line,MAINT_ITEM,5,4
MAINT_ITEM:oil pressure line,oil pressure line,MAINT_ITEM,4,4
MAINT_ITEM:piston rings,piston rings,MAINT_ITEM,4,4
MAINT_ITEM:ring gear,ring gear,MAINT_ITEM,4,4
MAINT_ITEM:rivet head,rivet head,MAINT_ITEM,4,4
MAINT_ITEM:rocker shaft,rocker shaft,MAINT_ITEM,4,4
MAINT_ITEM:screen,screen,MAINT_ITEM,4,4
MAINT_ITEM:scroll,scroll,MAINT_ITEM,7,4
MAINT_ITEM:silicone gaskets,silicone gaskets,MAINT_ITEM,4,4
MAINT_ITEM:spiral wrap,spiral wrap,MAINT_ITEM,5,4
MAINT_ITEM:support,support,MAINT_ITEM,4,4
MAINT_ITEM:tangs,tangs,MAINT_ITEM,4,4
MAINT_ITEM:through,through,MAINT_ITEM,4,4
MAINT_ITEM:tubes,tubes,MAINT_ITEM,4,4
MAINT_ITEM:zip ties,zip ties,MAINT_ITEM,6,4
OP_CTX:after engine start up,after engine start up,OP_CTX,4,4
OP_CTX:during climb out,during climb out,OP_CTX,4,4
OP_CTX:during taxi,during taxi,OP_CTX,4,4
OP_CTX:start,start,OP_CTX,4,4
OUTCOME:no damage noted,no damage noted,OUTCOME,4,4
REFERENCE:standard reference manual,standard reference manual,REFERENCE,4,4
TECH_OBS:1 second,1 second,TECH_OBS,4,4
TECH_OBS:2720 rpm,2720 rpm,TECH_OBS,4,4
TECH_OBS:3400 rpm,3400 rpm,TECH_OBS,4,4
TECH_OBS:350 rpm,350 rpm,TECH_OBS,4,4
TECH_OBS:below 1150 rpm,below 1150 rpm,TECH_OBS,4,4
TECH_OBS:compression 20/80,compression 20/80,TECH_OBS,4,4
TECH_OBS:compression at 35,compression at 35,TECH_OBS,4,4
TECH_OBS:compression at 45/80,compression at 45/80,TECH_OBS,4,4
TECH_OBS:compression below 40 psi,compression below 40 psi,TECH_OBS,4,4
TECH_OBS:compression fifteen out of,compression fifteen out of,TECH_OBS,4,4
TECH_OBS:compression test was 35/80,compression test was 35/80,TECH_OBS,4,4
TECH_OBS:egt,egt,TECH_OBS,4,4
TECH_OBS:gain access,gain access,TECH_OBS,4,4
TECH_OBS:high rpm,high rpm,TECH_OBS,4,4
TECH_OBS:idle override,idle override,TECH_OBS,4,4
TECH_OBS:oil pressure read 100-105 psi,oil pressure read 100-105 psi,TECH_OBS,4,4
TECH_OBS:operating temperature,operating temperature,TECH_OBS,4,4
TECH_OBS:operating temperatures,operating temperatures,TECH_OBS,4,4
TECH_OBS:rpm ' s,rpm ' s,TECH_OBS,4,4
TECH_OBS:running fine,running fine,TECH_OBS,4,4
TECH_OBS:several places,several places,TECH_OBS,4,4
TECH_OBS:several times,several times,TECH_OBS,4,4
TECH_OBS:tension,tension,TECH_OBS,4,4
TECH_OBS:three times,three times,TECH_OBS,4,4
ABN_PROC:air noted,air noted,ABN_PROC,3,3
ABN_PROC:back firing,back firing,ABN_PROC,3,3
ABN_PROC:backfired,backfired,ABN_PROC,3,3
ABN_PROC:became incredibly rough,became incredibly rough,ABN_PROC,3,3
ABN_PROC:became rough,became rough,ABN_PROC,3,3
ABN_PROC:coming out,coming out,ABN_PROC,3,3
ABN_PROC:fluctuating,fluctuating,ABN_PROC,3,3
ABN_PROC:lost,lost,ABN_PROC,3,3
ABN_PROC:power reduc,power reduc,ABN_PROC,3,3
ABN_PROC:ran consistantly rough,ran consistantly rough,ABN_PROC,3,3
ABN_PROC:rough chopping noise,rough chopping noise,ABN_PROC,3,3
ABN_PROC:run rough,run rough,ABN_PROC,3,3
ABN_PROC:started normally,started normally,ABN_PROC,3,3
ABN_PROC:would not increase,would not increase,ABN_PROC,3,3
ABN_PROC:wouldn ' t go to full power,wouldn ' t go to full power,ABN_PROC,3,3
ACTION:assisted,assisted,ACTION,3,3
ACTION:attached,attached,ACTION,3,3
ACTION:began installing,began installing,ACTION,3,3
ACTION:capped,capped,ACTION,3,3
ACTION:completed assembly,completed assembly,ACTION,3,3
ACTION:completed removal,completed removal,ACTION,3,3
ACTION:compressions,compressions,ACTION,4,3
ACTION:drained,drained,ACTION,3,3
ACTION:dressed,dressed,ACTION,3,3
ACTION:filled,filled,ACTION,3,3
ACTION:ground ran,ground ran,ACTION,3,3
ACTION:idle mixture check,idle mixture check,ACTION,3,3
ACTION:inspecte,inspecte,ACTION,3,3
ACTION:installe,installe,ACTION,3,3
ACTION:magneto checks,magneto checks,ACTION,3,3
ACTION:magnetos check,magnetos check,ACTION,3,3
ACTION:observed,observed,ACTION,3,3
ACTION:reassembly,reassembly,ACTION,3,3
ACTION:received,received,ACTION,3,3
ACTION:rechecked,rechecked,ACTION,3,3
ACTION:reinstall,reinstall,ACTION,3,3
ACTION:restarted,restarted,ACTION,3,3
ACTION:rigged,rigged,ACTION,3,3
ACTION:run up leak check,run up leak check,ACTION,3,3
ACTION:secure,secure,ACTION,3,3
ACTION:separated,separated,ACTION,3,3
ACTION:started installation,started installation,ACTION,3,3
ACTION:started removing,started removing,ACTION,3,3
ACTION:swaged,swaged,ACTION,3,3
ACTION:swapped,swapped,ACTION,4,3
ACTION:test,test,ACTION,3,3
ACTION:tightening,tightening,ACTION,3,3
FAULT:fails,fails,FAULT,3,3
FAULT:high,high,FAULT,3,3
FAULT:nicked,nicked,FAULT,3,3
FAULT:not attached,not attached,FAULT,3,3
FAULT:not connected,not connected,FAULT,3,3
FAULT:zero,zero,FAULT,3,3
LOC:forward side,forward side,LOC,3,3
LOC:left rear,left rear,LOC,4,3
LOC:left-hand bottom,left-hand bottom,LOC,3,3
LOC:lower aft,lower aft,LOC,4,3
LOC:number four side,number four side,LOC,3,3
LOC:number three and number,number three and number,LOC,3,3
"LOC:numbers three , four","numbers three , four",LOC,3,3
LOC:one and four,one and four,LOC,3,3
LOC:right side,right side,LOC,4,3
LOC:three or four,three or four,LOC,3,3
LOC:under,under,LOC,3,3
MAINT_ITEM:adel clamps,adel clamps,MAINT_ITEM,6,3
MAINT_ITEM:air filter box,air filter box,MAINT_ITEM,3,3
MAINT_ITEM:attaching hardware,attaching hardware,MAINT_ITEM,3,3
MAINT_ITEM:b nuts,b nuts,MAINT_ITEM,4,3
MAINT_ITEM:backbone bolt,backbone bolt,MAINT_ITEM,3,3
MAINT_ITEM:baff,baff,MAINT_ITEM,3,3
MAINT_ITEM:baffle access hole,baffle access hole,MAINT_ITEM,3,3
MAINT_ITEM:baffle brace,baffle brace,MAINT_ITEM,3,3
MAINT_ITEM:baffle button,baffle button,MAINT_ITEM,3,3
MAINT_ITEM:baffle cylinder,baffle cylinder,MAINT_ITEM,3,3
MAINT_ITEM:baffle mount screw,baffle mount screw,MAINT_ITEM,3,3
MAINT_ITEM:baffle plug doubler,baffle plug doubler,MAINT_ITEM,3,3
MAINT_ITEM:baffle plug holes,baffle plug holes,MAINT_ITEM,3,3
MAINT_ITEM:baffle spark plug,baffle spark plug,MAINT_ITEM,3,3
MAINT_ITEM:baffling connecting rod,baffling connecting rod,MAINT_ITEM,3,3
MAINT_ITEM:barrel nut,barrel nut,MAINT_ITEM,4,3
MAINT_ITEM:black baffle seal,black baffle seal,MAINT_ITEM,3,3
MAINT_ITEM:bolt hole,bolt hole,MAINT_ITEM,3,3
MAINT_ITEM:bulkhead,bulkhead,MAINT_ITEM,3,3
MAINT_ITEM:cables,cables,MAINT_ITEM,3,3
MAINT_ITEM:center,center,MAINT_ITEM,3,3
MAINT_ITEM:cooler,cooler,MAINT_ITEM,3,3
MAINT_ITEM:corner,corner,MAINT_ITEM,3,3
MAINT_ITEM:cowl bracket,cowl bracket,MAINT_ITEM,3,3
MAINT_ITEM:cowl shock mount,cowl shock mount,MAINT_ITEM,6,3
MAINT_ITEM:cowls,cowls,MAINT_ITEM,4,3
MAINT_ITEM:doubler plate,doubler plate,MAINT_ITEM,3,3
MAINT_ITEM:engine breather support,engine breather support,MAINT_ITEM,3,3
MAINT_ITEM:engine cover,engine cover,MAINT_ITEM,4,3
MAINT_ITEM:engine inlet,engine inlet,MAINT_ITEM,3,3
MAINT_ITEM:enigne,enigne,MAINT_ITEM,3,3
MAINT_ITEM:exhaust guides,exhaust guides,MAINT_ITEM,3,3
MAINT_ITEM:exhaust push rod tube,exhaust push rod tube,MAINT_ITEM,3,3
MAINT_ITEM:exhaust system,exhaust system,MAINT_ITEM,3,3
"MAINT_ITEM:exhaust valve , two","exhaust valve , two",MAINT_ITEM,3,3
MAINT_ITEM:fittings,fittings,MAINT_ITEM,3,3
MAINT_ITEM:flight data,flight data,MAINT_ITEM,3,3
MAINT_ITEM:flywheel,flywheel,MAINT_ITEM,3,3
MAINT_ITEM:fuel injector line,fuel injector line,MAINT_ITEM,3,3
MAINT_ITEM:fuel lines,fuel lines,MAINT_ITEM,3,3
MAINT_ITEM:housing,housing,MAINT_ITEM,3,3
MAINT_ITEM:intake gasket tube,intake gasket tube,MAINT_ITEM,3,3
MAINT_ITEM:intake pipe gasket,intake pipe gasket,MAINT_ITEM,3,3
MAINT_ITEM:intake pipes,intake pipes,MAINT_ITEM,3,3
MAINT_ITEM:intake screen,intake screen,MAINT_ITEM,4,3
MAINT_ITEM:intercylinder baffle,intercylinder baffle,MAINT_ITEM,3,3
MAINT_ITEM:lock nuts,lock nuts,MAINT_ITEM,3,3
MAINT_ITEM:nacelle,nacelle,MAINT_ITEM,3,3
MAINT_ITEM:nutplate,nutplate,MAINT_ITEM,3,3
MAINT_ITEM:o-ring,o-ring,MAINT_ITEM,3,3
MAINT_ITEM:oil cooler bolt,oil cooler bolt,MAINT_ITEM,3,3
MAINT_ITEM:oil cooler flange,oil cooler flange,MAINT_ITEM,3,3
MAINT_ITEM:oil filter,oil filter,MAINT_ITEM,3,3
MAINT_ITEM:parts,parts,MAINT_ITEM,3,3
MAINT_ITEM:pistons,pistons,MAINT_ITEM,3,3
MAINT_ITEM:propeller cont,propeller cont,MAINT_ITEM,3,3
MAINT_ITEM:propeller governor,propeller governor,MAINT_ITEM,3,3
MAINT_ITEM:propeller tip,propeller tip,MAINT_ITEM,3,3
MAINT_ITEM:push rod seal,push rod seal,MAINT_ITEM,3,3
MAINT_ITEM:rocker box gasket,rocker box gasket,MAINT_ITEM,3,3
MAINT_ITEM:rubber baffle,rubber baffle,MAINT_ITEM,4,3
MAINT_ITEM:spark,spark,MAINT_ITEM,3,3
MAINT_ITEM:spark plug access hole,spark plug access hole,MAINT_ITEM,4,3
MAINT_ITEM:staple,staple,MAINT_ITEM,3,3
MAINT_ITEM:tab,tab,MAINT_ITEM,3,3
MAINT_ITEM:throttle linkage,throttle linkage,MAINT_ITEM,4,3
MAINT_ITEM:thrust buttons,thrust buttons,MAINT_ITEM,3,3
MAINT_ITEM:tie rods,tie rods,MAINT_ITEM,3,3
MAINT_ITEM:tie wire,tie wire,MAINT_ITEM,3,3
MAINT_ITEM:upper baffle,upper baffle,MAINT_ITEM,3,3
MAINT_ITEM:upper baffle seal,upper baffle seal,MAINT_ITEM,3,3
MAINT_ITEM:valve guide,valve guide,MAINT_ITEM,3,3
MAINT_ITEM:valve train,valve train,MAINT_ITEM,3,3
MAINT_ITEM:wire,wire,MAINT_ITEM,3,3
MAINT_ITEM:wire bundle,wire bundle,MAINT_ITEM,3,3
OP_CTX:60 secs after start,60 secs after start,OP_CTX,3,3
OP_CTX:a few high power man,a few high power man,OP_CTX,3,3
OP_CTX:after engine start lean procedure,after engine start lean procedure,OP_CTX,3,3
OP_CTX:after landing,after landing,OP_CTX,3,3
OP_CTX:after storage,after storage,OP_CTX,3,3
OP_CTX:during shutdown checklist,during shutdown checklist,OP_CTX,3,3
OP_CTX:during start up,during start up,OP_CTX,3,3
OP_CTX:on aircraft run up,on aircraft run up,OP_CTX,3,3
OP_CTX:on application of fu,on application of fu,OP_CTX,3,3
OP_CTX:on ground,on ground,OP_CTX,3,3
OP_CTX:on long final,on long final,OP_CTX,3,3
OP_CTX:on post run up,on post run up,OP_CTX,3,3
OP_CTX:on takeoff,on takeoff,OP_CTX,3,3
OP_CTX:unusual attitude,unusual attitude,OP_CTX,3,3
OP_CTX:while in level flight,while in level flight,OP_CTX,3,3
OP_CTX:while taxiing,while taxiing,OP_CTX,3,3
OUTCOME:goo,goo,OUTCOME,3,3
OUTCOME:no affect,no affect,OUTCOME,3,3
OUTCOME:no change,no change,OUTCOME,3,3
OUTCOME:no damage,no damage,OUTCOME,3,3
OUTCOME:no def,no def,OUTCOME,3,3
OUTCOME:no defects found,no defects found,OUTCOME,3,3
OUTCOME:no further action requir,no further action requir,OUTCOME,3,3
OUTCOME:no further defects noted,no further defects noted,OUTCOME,3,3
OUTCOME:no leaks,no leaks,OUTCOME,3,3
REFERENCE:lycom,lycom,REFERENCE,3,3
TECH_OBS:1200 rp,1200 rp,TECH_OBS,3,3
TECH_OBS:1560,1560,TECH_OBS,3,3
TECH_OBS:1700 rpm,1700 rpm,TECH_OBS,3,3
TECH_OBS:20/80,20/80,TECH_OBS,3,3
TECH_OBS:200-300 rpm,200-300 rpm,TECH_OBS,3,3
TECH_OBS:2720,2720,TECH_OBS,3,3
TECH_OBS:approximately 280,approximately 280,TECH_OBS,3,3
TECH_OBS:at.031 inches,at.031 inches,TECH_OBS,3,3
TECH_OBS:at.032 inches,at.032 inches,TECH_OBS,3,3
TECH_OBS:at.033 inches,at.033 inches,TECH_OBS,3,3
TECH_OBS:at.035 inches,at.035 inches,TECH_OBS,3,3
TECH_OBS:compression ( 30 lbs,compression ( 30 lbs,TECH_OBS,3,3
"TECH_OBS:compression , fifty out of","compression , fifty out of",TECH_OBS,3,3
TECH_OBS:compression 18/80,compression 18/80,TECH_OBS,3,3
TECH_OBS:compression forty out of,compression forty out of,TECH_OBS,3,3
TECH_OBS:compressions,compressions,TECH_OBS,3,3
TECH_OBS:exhaust clearance.033 inches,exhaust clearance.033 inches,TECH_OBS,3,3
TECH_OBS:exhaust clearnace.035 inches,exhaust clearnace.035 inches,TECH_OBS,3,3
TECH_OBS:forty out of,forty out of,TECH_OBS,4,3
TECH_OBS:idle setting,idle setting,TECH_OBS,3,3
TECH_OBS:lower temperature,lower temperature,TECH_OBS,3,3
TECH_OBS:magneto drops,magneto drops,TECH_OBS,3,3
TECH_OBS:multiple places,multiple places,TECH_OBS,3,3
TECH_OBS:rpm about 2850,rpm about 2850,TECH_OBS,3,3
TECH_OBS:tappet clearance,tappet clearance,TECH_OBS,3,3
TECH_OBS:three seconds,three seconds,TECH_OBS,3,3
ABN_PROC:coming from exhaust,coming from exhaust,ABN_PROC,2,2
ABN_PROC:contacted,contacted,ABN_PROC,2,2
ABN_PROC:coughed,coughed,ABN_PROC,2,2
ABN_PROC:drop in rpm,drop in rpm,ABN_PROC,2,2
ABN_PROC:hoisting loop,hoisting loop,ABN_PROC,2,2
ABN_PROC:killed,killed,ABN_PROC,2,2
ABN_PROC:leakin,leakin,ABN_PROC,2,2
ABN_PROC:leaky,leaky,ABN_PROC,2,2
ABN_PROC:loud tap,loud tap,ABN_PROC,2,2
ABN_PROC:momentary power hesitation,momentary power hesitation,ABN_PROC,2,2
ABN_PROC:running extremely rough,running extremely rough,ABN_PROC,2,2
ABN_PROC:runs cold,runs cold,ABN_PROC,2,2
ABN_PROC:seepage,seepage,ABN_PROC,2,2
ABN_PROC:shakes violently,shakes violently,ABN_PROC,2,2
ABN_PROC:shock violently,shock violently,ABN_PROC,2,2
ABN_PROC:shut down,shut down,ABN_PROC,2,2
ABN_PROC:slight power loss,slight power loss,ABN_PROC,2,2
ABN_PROC:sounded like,sounded like,ABN_PROC,2,2
ABN_PROC:sputter,sputter,ABN_PROC,2,2
ABN_PROC:sputtered,sputtered,ABN_PROC,2,2
ABN_PROC:started running rough shortly,started running rough shortly,ABN_PROC,2,2
ABN_PROC:sudden stoppage,sudden stoppage,ABN_PROC,2,2
ABN_PROC:vibrated,vibrated,ABN_PROC,2,2
ABN_PROC:waiting,waiting,ABN_PROC,2,2
ABN_PROC:weeping,weeping,ABN_PROC,2,2
ABN_PROC:will not start,will not start,ABN_PROC,2,2
ABN_PROC:would sputter,would sputter,ABN_PROC,2,2
ACTION:adjustment,adjustment,ACTION,2,2
ACTION:analyzed,analyzed,ACTION,2,2
ACTION:began,began,ACTION,2,2
ACTION:began disassembly,began disassembly,ACTION,2,2
ACTION:began fabricating,began fabricating,ACTION,2,2
ACTION:began performing,began performing,ACTION,2,2
ACTION:began replacement,began replacement,ACTION,2,2
ACTION:bleed,bleed,ACTION,2,2
ACTION:bore scoped,bore scoped,ACTION,2,2
ACTION:canned,canned,ACTION,2,2
ACTION:checked torque,checked torque,ACTION,2,2
ACTION:cleaned up,cleaned up,ACTION,2,2
ACTION:cleaning,cleaning,ACTION,2,2
ACTION:cleared,cleared,ACTION,2,2
ACTION:cowled,cowled,ACTION,2,2
ACTION:down,down,ACTION,2,2
ACTION:finished reaming,finished reaming,ACTION,2,2
ACTION:fixed,fixed,ACTION,2,2
ACTION:ground . ran,ground . ran,ACTION,2,2
ACTION:hand spun,hand spun,ACTION,2,2
ACTION:installed repaired,installed repaired,ACTION,2,2
ACTION:installed riveted,installed riveted,ACTION,2,2
ACTION:located,located,ACTION,2,2
ACTION:mounted,mounted,ACTION,2,2
ACTION:moved,moved,ACTION,2,2
ACTION:odegaard,odegaard,ACTION,2,2
ACTION:oil change,oil change,ACTION,2,2
ACTION:ordered,ordered,ACTION,2,2
ACTION:overspeed inspection,overspeed inspection,ACTION,2,2
ACTION:positioned,positioned,ACTION,2,2
ACTION:positioned too,positioned too,ACTION,2,2
ACTION:pre-oiled,pre-oiled,ACTION,2,2
ACTION:prepared,prepared,ACTION,2,2
ACTION:recrimped,recrimped,ACTION,2,2
ACTION:refastened,refastened,ACTION,2,2
ACTION:reglued,reglued,ACTION,3,2
ACTION:reindexed,reindexed,ACTION,2,2
ACTION:reinstal,reinstal,ACTION,2,2
ACTION:removing,removing,ACTION,2,2
ACTION:repairced,repairced,ACTION,2,2
ACTION:replaced completed install,replaced completed install,ACTION,2,2
ACTION:repositioning,repositioning,ACTION,2,2
ACTION:rescured,rescured,ACTION,2,2
ACTION:reseat,reseat,ACTION,2,2
ACTION:retightened,retightened,ACTION,2,2
ACTION:review,review,ACTION,2,2
ACTION:rotated,rotated,ACTION,2,2
ACTION:routing,routing,ACTION,2,2
ACTION:sealed up,sealed up,ACTION,2,2
ACTION:set,set,ACTION,2,2
ACTION:started disassembly,started disassembly,ACTION,2,2
ACTION:started to remove,started to remove,ACTION,2,2
ACTION:straightened,straightened,ACTION,2,2
ACTION:tapped,tapped,ACTION,2,2
ACTION:tightened down,tightened down,ACTION,2,2
ACTION:transferred,transferred,ACTION,2,2
ACTION:tried,tried,ACTION,2,2
ACTION:tried staking,tried staking,ACTION,2,2
ACTION:trimmed,trimmed,ACTION,2,2
ACTION:warmed up,warmed up,ACTION,2,2
FAULT:broke off,broke off,FAULT,2,2
FAULT:cold,cold,FAULT,2,2
FAULT:enlarged,enlarged,FAULT,2,2
FAULT:faulty,faulty,FAULT,2,2
FAULT:fouled,fouled,FAULT,2,2
FAULT:kinked,kinked,FAULT,2,2
FAULT:no egt,no egt,FAULT,2,2
FAULT:no rise,no rise,FAULT,2,2
FAULT:not hitting,not hitting,FAULT,2,2
FAULT:not hooked up,not hooked up,FAULT,2,2
FAULT:not secured,not secured,FAULT,2,2
FAULT:out of place,out of place,FAULT,2,2
FAULT:red x,red x,FAULT,2,2
FAULT:too large,too large,FAULT,2,2
FAULT:too many,too many,FAULT,2,2
FAULT:too short,too short,FAULT,2,2
FAULT:unusual indication,unusual indication,FAULT,2,2
FAULT:wearing,wearing,FAULT,2,2
FAULT:wrench,wrench,FAULT,2,2
FAULT:zero compression,zero compression,FAULT,2,2
LOC:aft inboard,aft inboard,LOC,2,2
LOC:aft side,aft side,LOC,2,2
LOC:back side,back side,LOC,2,2
LOC:base,base,LOC,2,2
LOC:bottom right-hand,bottom right-hand,LOC,2,2
LOC:bottom right-hand side,bottom right-hand side,LOC,2,2
LOC:exhaust side,exhaust side,LOC,2,2
LOC:forward bottom,forward bottom,LOC,2,2
LOC:forward inboard,forward inboard,LOC,2,2
LOC:inboard aft,inboard aft,LOC,2,2
LOC:left and right,left and right,LOC,2,2
LOC:left-hand lower,left-hand lower,LOC,2,2
LOC:lower front,lower front,LOC,2,2
LOC:lower portion,lower portion,LOC,2,2
LOC:lower right,lower right,LOC,2,2
LOC:number 1-78,number 1-78,LOC,3,2
LOC:number 2-75,number 2-75,LOC,2,2
"LOC:number four , and number three","number four , and number three",LOC,2,2
LOC:number four and number one,number four and number one,LOC,2,2
LOC:number one to number three,number one to number three,LOC,2,2
LOC:number one-three,number one-three,LOC,2,2
LOC:number three and number four side,number three and number four side,LOC,2,2
LOC:number three and number one,number three and number one,LOC,2,2
LOC:number two to four,number two to four,LOC,2,2
"LOC:numbers three , four and","numbers three , four and",LOC,2,2
"LOC:numbers three , four and one","numbers three , four and one",LOC,2,2
"LOC:numbers three , two , and four","numbers three , two , and four",LOC,2,2
"LOC:numbers three , two and four","numbers three , two and four",LOC,2,2
"LOC:one , two , and three","one , two , and three",LOC,2,2
LOC:outer,outer,LOC,2,2
LOC:right front,right front,LOC,2,2
LOC:rigid,rigid,LOC,2,2
LOC:three,three,LOC,2,2
LOC:top left-hand,top left-hand,LOC,2,2
LOC:top left-hand side,top left-hand side,LOC,4,2
MAINT_ITEM:29 push rod,29 push rod,MAINT_ITEM,2,2
MAINT_ITEM:access plug,access plug,MAINT_ITEM,2,2
MAINT_ITEM:accessory housing,accessory housing,MAINT_ITEM,2,2
MAINT_ITEM:air door,air door,MAINT_ITEM,2,2
MAINT_ITEM:air inlet,air inlet,MAINT_ITEM,2,2
MAINT_ITEM:anchor assembly,anchor assembly,MAINT_ITEM,4,2
MAINT_ITEM:anchor standby assembly,anchor standby assembly,MAINT_ITEM,4,2
MAINT_ITEM:attach bolt,attach bolt,MAINT_ITEM,2,2
