ident,text,items,faults,actions
100685,"NUMBER ONE INTAKE TUBE WAS CANNED INSTALLED NEW INTAKE TUBE , O-RING AND GASKET .",intake tube; o-ring; gasket,,canned installed; installed
100686,LEFT-HAND NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET WITH NEW .,intake gasket,leaking,removed; replaced
100687,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER THREE INTAKES LEAKING . REMOVED AND REPLACED INTAKE GASKETS WITH NEW .,engine; intakes; intake gaskets,leaking,removed; replaced
100688,RIGHT-HAND ENGINE NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED ROCKER COVER GASKET .,engine; rocker cover gasket,leaking,removed; replaced
100689,RIGHT-HAND ENGINE NUMBER TWO CYLINDER ROCKER COVER GASKET IS SPLIT . REPLACED GASKET .,engine; cylinder; rocker cover gasket; gasket,split,replaced
100690,RIGHT-HAND ENGINE NUMBER FOUR INDUCTION TUBE GASKET LEAKING . REPLACED NUMBER FOUR RIGHT-HAND INTAKE TUBE GASKET .,engine; induction tube gasket; intake tube gasket,leaking,replaced
100691,NUMBER FOUR CYLINDER INTAKE TUBE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake tube; intake gasket,leaking,removed; replaced
100692,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100693,NUMBER ONE INTAKE LEAKING . REPLACED GASKET .,intake; gasket,leaking,replaced
100694,"NUMBER TWO EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT . REMOVED , INSPECTED AND DETERMINED TO BE SERVICEABLE PUSH",,too tight,removed; inspected; determined
100695,NUMBER TWO EXHAUST LIFTER PLUNGER ASSEMBLY CAME APART WHEN CLEANED . REMOVED PLUNGER ASSEMBLY FROM CORE ENGINE,plunger assembly; core engine,,cleaned; removed
100696,ENGINE RUNS ROUGH ON START . MAINTENANCE HAND SPUN PROPELLER AND REPORTED ONE CYLINDER PERFORMED COMPRESSION CHECK AND FOUND NUMBER THREE EXHAUST VALVE ST,engine; propeller; cylinder; exhaust valve,runs rough,hand spun; compression check
100697,ENGINE RUNS ROUGH ON START . MAINTENANCE HAND SPUN PROPELLER AND REPORTED ONE CYLINDER REMOVED AND REPLACED NUMBER THREE CYLINDER IN ACCORDANCE WITH LYCOMING OUTBOARD MANUAL .,engine; propeller; cylinder,runs rough,hand spun; removed; replaced
100698,RIGHT-HAND ENGINE NUMBER THREE INDUCTION TUBE GASKET LEAKING . INSTALLED NEW NUMBER THREE INDUCTION TUBE GASKET .,engine; induction tube gasket,leaking,installed
100699,BAFFLE SEAL LOOSE ON LEFT SIDE OF ENGINE . SECURED BAFFLE SEAL .,baffle seal; engine,loose,secured
100700,"LEFT DOOR WOULD NOT LATCH . ADJUSTED STRIKER PLATE , DOOR . OPERATIONS CHECK GOOD .",left door; striker plate,would not latch,adjusted; operations check
100701,CYLINDER NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake gasket,leaking,removed; replaced
100702,"INTAKES TWO , THREE AND FOUR LEAKING ON LEFT-HAND ENGINE . REPLACED INTAKE GASKETS .",intakes; engine; intake gaskets,leaking,replaced
100703,BAFFLE SEALS NEED TO BE RESECURED ON BOTH ENGINES . RESECURED BAFFLE SEALS .,baffle seals; engines,,resecured
100704,"INTAKES TWO , THREE AND FOUR LEAKING ON RIGHT-HAND ENGINE . REMOVED AND REPLACED INTAKE GASKETS . CLEANED AREA OF LEAK",intakes; engine; intake gaskets,leaking; leak,removed; replaced; cleaned
100705,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED GASKET .,intake; gasket,leaking,removed; replaced
100706,NUMBER TWO ROCKER COVER IS LEAKING . REMOVED AND REPLACED GASKET .,rocker cover; gasket,leaking,removed; replaced
100707,NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100708,RIGHT-HAND SIDE COWL SEAL IS LOOSE . SECURED SEAL .,cowl seal; seal,loose,secured
100709,HARDWARE MISSING ON RIGHT-HAND AFT BAFFLE . INSTALLED NEW HARDWARE IN AFT RIGHT-HAND BAFFLE .,hardware; baffle; new hardware,missing,installed
100710,HARDWARE MISSING ON RIGHT-HAND AFT BAFFLE . INSTALLED NEW HARDWARE ON BAFFLE .,hardware; baffle; new hardware,missing,installed
100711,ENGINE BAFFLE PLUGS BAD . INSTALLED NEW BAFFLE PLUGS .,engine; baffle plugs,bad,installed
100712,NUMBER TWO ROCKER BOX COVER GASKET LEAKING . INSTALLED NEW NUMBER TWO ROCKER BOX COVER GASKET .,rocker box cover gasket,leaking,installed
100713,"CYLINDER NUMBER ONE AND NUMBER THREE INTAKES ARE LEAKING , LEFT-HAND ENGINE . REPLACED INTAKE GASKETS .",cylinder; intakes; engine; intake gaskets,leaking,replaced
100714,RIGHT-HAND ENGINE CYLINDER NUMBER TWO INTAKE IS LEAKING . REPLACED RIGHT-HAND CYLINDER NUMBER TWO INTAKE GASKET .,engine; cylinder; intake; intake gasket,leaking,replaced
100715,"CYLINDER NUMBER TWO INTAKE IS LEAKING , LEFT-HAND ENGINE . REPLACED CYLINDER NUMBER TWO LEFT-HAND INTAKE TUBE GASKET .",cylinder; intake; engine; intake tube gasket,leaking,replaced
100716,RIGHT-HAND ENGINE CORNER BRACKET BY PROPELLER CABLE IS CRACKED . REMOVED AND REPLACED BRACKET .,engine; corner bracket; propeller cable; bracket,cracked,removed; replaced
100717,"RIGHT-HAND ENGINE CYLINDER NUMBER TWO , AND NUMBER THREE ROCKER COVERS ARE LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .",engine; cylinder; rocker covers; rocker cover gaskets,leaking,removed; replaced
100718,"RAN ENGINE START CHECKLIST THREE TIMES , TRIED COLD START CHECKLIST TWO T STARTED ENGINE USING NORMAL PROCEDURES , OPERATIONS CHECK GOOD .",engine,,ran; tried; started; operations check
100719,CYLINDER NUMBER FOUR INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake; intake gasket,leaking,removed; replaced
100720,CYLINDER NUMBER ONE AND NUMBER THREE BAFFLE SPRING BROKEN . REPLACED NUMBER ONE AND NUMBER THREE BAFFLE SPRING .,cylinder; baffle spring,broken,replaced
100721,"REAR RIGHT-HAND BAFFLE BRACKET RIVETS SHEARED . REMOVED BAFFLE , REPLACED RIVETS , REINSTALLED BAFFLE .",baffle bracket; rivets; baffle,sheared,removed; replaced; reinstalled
100722,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100723,"BACK RIGHT-HAND BAFFLE BACK BRACKET RIVET HEAD IS SHEARED OFF . REMOVED RIGHT-HAND BACK BAFFLE , INSTALLED BRACKET WITH SCREWS .",baffle back bracket; rivet head; baffle; bracket; screws,sheared,removed; installed
100724,"SCREW MISSING , AFT BAFFLE BRACKET . INSTALLED SCREW .",screw; baffle bracket,missing,installed
100725,SCREW MISSING ON BAFFLE ABOVE NUMBER THREE CYLINDER . INSTALLED SCREW .,screw; baffle; cylinder,missing,installed
100726,"BAFFLE CRACKED ABOVE NUMBER ONE CYLINDER . REMOVED BAFFLE , STOP DRILLED CRACK . FABRICATED PATCH ,",baffle; cylinder; patch,cracked; crack,removed; stop drilled; fabricated
100727,REAR BAFFLE PLUGS WORN OUT . REPLACED BOTH PLUGS WITH NEW .,baffle plugs; plugs,worn,replaced
100728,STANDOFF NEEDED FOR FUEL LINE ON TOP OF ENGINE . CLAMPED STANDOFF AT PUSH ROD TUBE .,standoff; fuel line; engine; push rod tube,,clamped standoff
100729,"RIGHT-HAND BAFFLE MISSING RIVET ON AFT SUPPORT BRACKET . REMOVED BAFFLE , REPAIRED BRACKET AND STRIPPED OIL COOLER",baffle; rivet; support bracket; bracket; oil cooler,missing,removed; repaired; stripped
100730,RIGHT-HAND ENGINE NUMBER FOUR INTAKE GASKET LEAKING . REPLACED RIGHT-HAND NUMBER FOUR INTAKE GASKET .,engine; intake gasket,leaking,replaced
100731,RIGHT-HAND ENGINE NUMBER THREE INDUCTION TUBE GASKET LEAKING . REPLACED RIGHT-HAND NUMBER THREE INTAKE GASKET .,engine; induction tube gasket; intake gasket,leaking,replaced
100732,"LEFT-HAND ENGINE NUMBER THREE INDUCTION TUBE GASKET LEAKING . REPLACED INTAKE TUBE GASKET , LEFT-HAND NUMBER THREE .",engine; induction tube gasket; intake tube gasket,leaking,replaced
100733,"RIGHT-HAND ENGINE , LEFT-HAND FORWARD BAFFLE AND LEFT-HAND AFT BAFFLE MISSING SCREWS . REPLACED RIGHT-HAND ENGINE , LEFT-HAND FORWARD AND LEFT-HAND AFT BAFFLE SCREWS .",engine; baffle; screws; baffle screws,missing,replaced
100734,CYLINDER NUMBER ONE INTAKE LEAKS . REMOVED AND REPLACED CYLINDER NUMBER ONE INTAKE GASKET .,cylinder; intake; intake gasket,leaks,removed; replaced
100735,"LEFT-HAND BAFFLE , SPARK PLUG ACCESS PLUG WORN TABS . REMOVED AND REPLACED BROKEN BAFFLE PLUG .",baffle; spark plug; spark plug access; spark plug access plug; access plug; tabs; baffle plug,worn; broken,removed; replaced
100736,CYLINDER NUMBER TWO INTAKE IS LEAKING . REPLACED INTAKE GASKET .,cylinder; intake; intake gasket,leaking,replaced
100737,NUMBER THREE AND NUMBER FOUR ROCKER GASKETS ARE LEAKING . REPLACED GASKETS .,rocker gaskets; gaskets,leaking,replaced
100738,"AIRCRAFT WON ' T START . ATTEMPTED TO START AIRCRAFT FOR PILOT . BATTERY WAS DEAD ,",aircraft,won ' t start,attempted to start
100739,"AIRCRAFT WON ' T START . ATTEMPTED TO START AIRCRAFT FOR PILOT , BATTERY WAS DEAD .",aircraft,dead; won ' t start,attempted to start
100740,"AIRCRAFT WON ' T START . ATTEMPTED TO START AIRCRAFT FOR PILOT , BATTERY WAS DEAD .",aircraft,dead; won ' t start,attempted to start
100741,"AIRCRAFT WON ' T START . ATTEMPT TO START AIRCRAFT FOR PILOT , BATTERY WAS DEAD . LINE",aircraft,dead; won ' t start,attempt to start
100742,INTAKE THREE AND FOUR LEAKING ON RIGHT-HAND ENGINE . REPLACED NUMBER THREE AND NUMBER FOUR RIGHT-HAND INTAKE GASKETS .,intake; engine; intake gaskets,leaking,replaced
100743,INTAKES THREE AND FOUR LEAKING ON LEFT-HAND ENGINE . REPLACED LEFT-HAND ENGINE NUMBER THREE AND NUMBER FOUR INTAKE GASKETS .,intakes; engine; intake gaskets,leaking,replaced
100744,RIGHT-HAND SIDE ENGINE BAFFLE HARDWARE MISSING . INSTALLED NEW HARDWARE ON RIGHT-HAND BAFFLE .,engine; baffle hardware; hardware; baffle,missing,installed
100745,FRONT BAFFLE ON LEFT-HAND SIDE HAS A CRACK . STOP DRILLED CRACK .,baffle,crack,stop drilled
100746,"RIGHT-HAND BACK BAFFLE BRACKET IS MISSING A RIVET AND BAFFLE IS CRACK FABRICATED PATCH , INSTALLED AND RIVETED IN ACCORDANCE WITH STANDARD REFERENCE MATERIAL 51",back baffle bracket; rivet; baffle; patch,missing; crack,fabricated; installed; riveted
100747,NUMBER FOUR CYLINDER INTAKE GASKET LEAKING . REPLACED CYLINDER NUMBER FOUR INTAKE GASKET .,cylinder; intake gasket,leaking,replaced
100748,NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET WITH NEW .,intake gasket,leaking,removed; replaced
100749,LEFT-HAND NUMBER FOUR AFT BAFFLE CRACKED . STOP DRILLED CRACK .,baffle,cracked; crack,stop drilled
100750,LEFT-HAND NUMBER TWO SIDE BAFFLE SEAL TORN . REMOVED AND REPLACED SEAL .,baffle seal; seal,torn,removed; replaced
100751,LEFT-HAND NUMBER ONE SIDE BAFFLE SEAL LOOSE . REMOVED AND REPLACED SEAL .,baffle seal; seal,loose,removed; replaced
100752,LEFT-HAND NUMBER THREE INTAKE GASKET IS LEAKING . REPLACED INTAKE GASKET .,intake gasket,leaking,replaced
100753,LEFT-HAND ROCKER GASKETS ARE LEAKING . REPLACED ALL ROCKER GASKETS ON LEFT-HAND ENGINE .,rocker gaskets; engine,leaking,replaced
100754,LEFT-HAND NUMBER ONE INTAKE INBOARD PUSH ROD TUBE SEAL IS LEAKING . REPLACED PUSH ROD SEALS ON NUMBER ONE INTAKE TUBE .,intake; push rod tube seal; push rod seals; intake tube,leaking,replaced
100755,ROCKER BOX COVER SCREW LOOSE ON ALL CYLINDERS . TIGHTENED ROCKER BOX COVER SCREWS .,rocker box cover screw; cylinders; rocker box cover screws,loose,tightened
100756,"NUMBERS TWO , THREE AND FOUR INDUCTION TUBE GASKETS LEAKING . INSTALLED NEW INDUCTION TUBE GASKETS .",induction tube gaskets,leaking,installed
100757,INTAKE GASKET CYLINDER NUMBER THREE AND NUMBER FOUR LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,intake gasket; cylinder; intake gaskets,leaking,removed; replaced
100758,NUMBER FOUR INDUCTION TUBE GASKET LEAKING . REPLACED GASKET .,induction tube gasket; gasket,leaking,replaced
100759,ENGINE BAFFLES NEED NEW BUTTON PLUGS . REPLACED BUTTON PLUGS .,engine; baffles; button plugs,,replaced
100760,RIGHT-HAND ENGINE CYLINDER NUMBER ONE INTAKE LEAKING . REMOVED AND REPLACED INTAKE GASKET WITH NEW .,engine; cylinder; intake; intake gasket,leaking,removed; replaced
100761,CYLINDER NUMBER THREE INTAKE IS LEAKING ON LEFT-HAND ENGINE . REMOVED AND REPLACED INTAKE GASKET WITH NEW .,cylinder; intake; engine; intake gasket,leaking,removed; replaced
100762,"CLIMB OUT ONE OR BOTH ENGINES . RAN VERY ROUGH , TRIED LEANING INSPECTED LEFT-HAND AND RIGHT-HAND ENGINES , NO DEFECTS NOTED . RAN ENGINE",engines,ran very rough,inspected; ran
100763,INTAKES TWO AND FOUR LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,intakes; intake gaskets,leaking,removed; replaced
100764,"FORWARD ENGINE HOIST LOOP BOLT IS LOOSE . REMOVED , CLEANED , SEALED , INSTALLED AND TORQUED BOLT WITH N",engine; hoist loop bolt; bolt,loose,removed; cleaned; sealed; installed; torqued
100765,CYLINDER NUMBER TWO INTAKE GASKET LEAKING . REPLACED CYLINDER NUMBER TWO INTAKE GASKET .,cylinder; intake gasket,leaking,replaced
100766,"CYLINDER NUMBERS ONE , TWO , THREE AND FOUR ROCKER COVER GASKETS LEAKING . REPLACED ROCKER COVER GASKETS .",cylinder; rocker cover gaskets,leaking,replaced
100767,OIL COOLER NEEDS TO BE REPLACED . REMOVED AND REPLACED OIL COOLER,oil cooler,,replaced; removed
100768,NUMBER TWO INDUCTION TUBE HOSE CLAMP BROKEN . REMOVED AND REPLACED CLAMP .,induction tube; hose clamp; clamp,broken,removed; replaced
100769,CYLINDER NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS LEAKING . TIGHTENED ROCKER COVER SCREWS .,cylinder; rocker cover gaskets; rocker cover screws,leaking,tightened
100770,RIGHT-HAND ENGINE NUMBER THREE INDUCTION TUBE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,engine; induction tube gasket; intake gasket,leaking,removed; replaced
100771,"NUMBER THREE INTAKE INBOARD TO ENGINE THREAD STRIPPED . DRILLED STRIPPED HOLE , TAPPED AND INSERTED HELICOIL .",intake; engine; hole; helicoil,stripped,drilled; drilled stripped; stripped; tapped; inserted
100772,"LEFT-HAND ENGINE NUMBER THREE INDUCTION TUBE GASKET LEAKING . REMOVED AND REPLACED GASKET . RAN AIRCRAFT , LEAK CHECK GOOD .",engine; induction tube gasket; gasket; aircraft,leaking,removed; replaced; ran; leak check
100773,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100774,NUMBER ONE CYLINDER INTAKE GASKET IS LEAKING . REPLACED GASKET .,cylinder; intake gasket; gasket,leaking,replaced
100775,NUMBER THREE CYLINDER ROCKER GASKET IS LEAKING . REPLACED GASKET .,cylinder; rocker gasket; gasket,leaking,replaced
100776,RIGHT-HAND BAFFLE SPRING BROKEN . REMOVED AND REPLACED BAFFLE SPRING WITH NEW .,baffle spring,broken,removed; replaced
100777,"AFT BAFFLE BRACKET RIVETS PULLING THROUGH . REMOVED BAFFLE FROM AIRCRAFT , REMOVED AND REPLACED LOOSE RIVET",baffle bracket; rivets; baffle; aircraft; rivet,loose; pulling through,removed; replaced
100778,ENGINE TOP SPINE IS LEAKING . LEAK CHECK GOOD .,engine; spine,leaking,leak check
100779,"ENGINE TOP SPINE IS LEAKING . REMOVED BOLT , CLEANED , REINSTALLED BOLT AND TORQUED TO SP",engine; spine; bolt,leaking,removed; cleaned; reinstalled; torqued
100780,ALL ROCKER COVERS NEED TIGHTENING . TIGHTENED ALL COVERS .,rocker covers; covers,,tightening; tightened
100781,NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED GASKET .,rocker cover gasket; gasket,leaking,removed; replaced
100782,LEFT-HAND ENGINE NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,engine; intake; intake gasket,leaking,removed; replaced
100783,RIGHT-HAND ENGINE NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,engine; intake; intake gasket,leaking,removed; replaced
100784,CYLINDER NUMBER ONE BAFFLE IS CRACKED . STOP DRILLED CRACK .,cylinder; baffle,cracked; crack,stop drilled
100785,"RIGHT-HAND AFT ENGINE BAFFLE CRACKED . REMOVED RIGHT-HAND AFT ENGINE BAFFLE , STOP DRILLED CRACK , FABRICA",engine; baffle,cracked; crack,removed; stop drilled
100786,OVERBOARD BATTERY AND ENGINE OVERBOARD VENT TUBES CHAFED . REMOVED DAMAGED PORTION OF TUBES .,overboard battery; engine; overboard vent tubes; tubes,chafed; damaged,removed
100787,ALL ROCKER COVER SCREWS LOOSE . TIGHTENED SCREWS .,rocker cover screws; screws,loose,tightened
100788,LEFT-HAND ENGINE NUMBER THREE ROCKER SHAFT PLUG WORN . REPLACED PLUGS .,engine; rocker shaft plug; plugs,worn,replaced
100789,RIGHT-HAND ENGINE NUMBER THREE INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET .,engine; intake; intake gasket,leaking,removed; replaced
100790,LEFT-HAND ENGINE NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED GASKET .,engine; rocker cover gasket; gasket,leaking,removed; replaced
100791,CYLINDER NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET WITH NEW .,cylinder; intake; intake gasket,leaking,removed; replaced
100792,CYLINDER NUMBER TWO INTAKE VALVE PUSH ROD INBOARD SEAL IS LEAKING . LEAK CHECK GOOD .,cylinder; intake valve; push rod; seal,leaking,leak check
100793,"LEFT-HAND AFT BAFFLE CRACKED PAST STOP DRILL . REMOVED OLD PATCH , STOP DRILLED CRACK . FABRICATED PATCH",baffle; patch,cracked; crack,removed; stop drilled; fabricated
100794,"CYLINDER NUMBER TWO INTAKE VALVE PUSH ROD INBOARD SEAL IS LEAKING . ROTATED PUSH ROD TUBE TO RESEAT SEAL , TORQUED STUD NUT .",cylinder; intake valve; push rod; seal; push rod tube; stud nut,leaking,rotated; reseat; torqued
100795,NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED GASKET .,intake gasket; gasket,leaking,removed; replaced
100796,NUMBER FOUR VALVE COVER GASKET LEAKING . REMOVED AND REPLACED GASKET WITH NEW .,valve cover gasket; gasket,leaking,removed; replaced
100797,ALL ROCKER COVERS ON BOTH ENGINE SCREWS LOOSE . TIGHTENED ALL SCREWS .,rocker covers; screws,loose,tightened
100798,NUMBER TWO ROCKER COVER LEAKING . REMOVED AND REPLACED GASKET WITH NEW .,rocker cover; gasket,leaking,removed; replaced
100799,NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED GASKET WITH NEW .,intake gasket; gasket,leaking,removed; replaced
100800,"NUMBERS TWO , THREE AND FOUR INDUCTION TUBE GASKETS LEAKING . INSTALLED NEW INDICATION TUBE GASKETS .",induction tube gaskets; indication tube gaskets,leaking,installed
100801,CYLINDER NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS LEAKING . REPLACED CYLINDER NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS .,cylinder; rocker cover gaskets,leaking,replaced
100802,LEFT-HAND REAR ENGINE BAFFLE CRACKED . FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH LIKE MATERIAL AND RIVETED IN ACCORDANCE,engine; baffle; patch; like material,cracked,fabricated; riveted
100803,ALL EGT WIRE PROBE STANDOFFS ARE BROKEN . REMOVED AND REPLACED STANDOFFS .,egt wire probe standoffs; standoffs,broken,removed; replaced
100804,CYLINDER NUMBER FOUR INTAKE IS LEAKING . REMOVED AND REPLACED GASKET .,cylinder; intake; gasket,leaking,removed; replaced
100805,CYLINDER NUMBER THREE INTAKE GASKET LEAKING . REPLACED CYLINDER NUMBER THREE INTAKE GASKET .,cylinder; intake gasket,leaking,replaced
100806,FRONT ENGINE BAFFLE SCREWS CHAFING MUFFLER SHROUD . INSTALLED PROPER LENGTH SCREWS .,engine; baffle screws; muffler shroud,chafing,installed
100807,"LOWER OIL COOLER LINE NEEDS TO BE REPOSITIONED . LOOSENED LINE , REPOSITIONED LINE AND RETIGHTENED . LEAK CHECK",oil cooler line; line,,repositioned; loosened; retightened; leak check
100808,CYLINDER NUMBER TWO INTAKE GASKET LEAKING . REPLACED CYLINDER NUMBER TWO INTAKE GASKET .,cylinder; intake gasket,leaking,replaced
100809,NUMBER THREE ROCKER COVER IS LEAKING . REMOVED AND REPLACED NUMBER THREE ROCKER GASKET .,rocker cover; rocker gasket,leaking,removed; replaced
100810,CYLINDER NUMBER FOUR ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED COVER GASKET .,cylinder; rocker cover gasket; cover gasket,leaking,removed; replaced
100811,"REAR RIGHT-HAND ENGINE BAFFLE MOUNT BRACKET RIVETS SHEARED . DRILLED OUT SHEARED RIVET , INSTALLED NEW , REPAIR DONE",engine; baffle mount bracket; rivets; rivet,sheared,drilled out; installed
100812,"SLIGHT POWER LOSS ON TAKEOFF COMPLETED DIFFERENTIAL COMPRESSION TEST ( NUMBER 1-76 , NUMBER 2-75 ,",,slight power loss,differential compression test
100813,SLIGHT POWER LOSS ON TAKEOFF FOR BILLING PURPOSES ONLY,purposes only,slight power loss,
100814,NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100815,RIGHT-HAND BAFFLE NUMBER THREE CYLINDER NEEDS BAFFLE SCREW . INSTALLED NEW FASTENER ON BAFFLE .,baffle; cylinder; baffle screw,,installed
100816,NUMBER TWO CYLINDER INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET . CLEANED EXISTING LEAK,cylinder; intake gasket,leaking; leak,removed; replaced; cleaned
100817,"NUMBER THREE AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS , CLEANED AREA",cylinder; rocker cover gaskets,leaking,removed; replaced; cleaned
100818,LEFT-HAND REAR ENGINE BAFFLE CRACKED . STOP DRILLED CRACK .,engine; baffle,cracked; crack,stop drilled
100819,NUMBER TWO INDUCTION TUBE GASKET LEAKING . INSTALLED NEW NUMBER TWO INDUCTION TUBE GASKET .,induction tube gasket,leaking,installed
100820,NUMBER TWO CYLINDER ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED ROCKER COVER GASKET . CLEARED INITIAL,cylinder; rocker cover gasket,leaking,removed; replaced; cleared initial
100821,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100822,NUMBER ONE ROCKER COVER IS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .,rocker cover; rocker cover gaskets,leaking,removed; replaced
100823,TOP AND BOTTOM RUDDER COVERS ARE CRACKED . STOP DRILLED CRACKS AND FILLED WITH TWO PART EPOXY .,rudder covers; two part epoxy,cracked; cracks,stop drilled; filled
100824,NUMBER FOUR INDUCTION TUBE GASKET LEAKING . REMOVED AND REPLACED CYLINDER NUMBER FOUR INTAKE TUBE GASKET .,induction tube gasket; cylinder; intake tube gasket,leaking,removed; replaced
100825,"FRONT BAFFLE BY INTAKE HEAT , AROUND MUFFLER SHROUD , IS CRACK REMOVED MUFFLER TO GAIN ACCESS . BEGAN FABRICATING PATCH",baffle; intake heat; muffler; patch,crack,removed; began fabricating
100826,CYLINDER NUMBER TWO ROCKER COVER IS LEAKING . REPLACED ROCKER COVER GASKET .,cylinder; rocker cover; rocker cover gasket,leaking,replaced
100827,FORWARD BAFFLE CENTER SECTION IS WORN THROUGH . REMOVED WORN SECTION OF BAFFLE . FABRICATED NEW SECTION,baffle center section; baffle; section,worn,removed; fabricated
100828,LEFT-HAND ENGINE NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET .,engine; intake; intake gasket,leaking,removed; replaced
100829,LEFT-HAND ENGINE NUMBER THREE INTAKE GASKET LEAKING . REMOVED AND REPLACED LEFT-HAND ENGINE NUMBER THREE INTAKE GASKET .,engine; intake gasket,leaking,removed; replaced
100830,"LEFT-HAND ENGINE NUMBER TWO , AND NUMBER THREE ROCKER COVERS ARE LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .",engine; rocker covers; rocker cover gaskets,leaking,removed; replaced
100831,"NUMBER THREE ROCKER COVER , ROCKER SHAFT PLUGS ARE BROKEN . REMOVED AND REPLACED ROCKER SHAFT PLUGS .",rocker cover; rocker shaft plugs,broken,removed; replaced
100832,CYLINDER NUMBER TWO INTAKE IS LEAKING . REPLACED INTAKE GASKET .,cylinder; intake; intake gasket,leaking,replaced
100833,CYLINDER NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING . REPLACED ROCKER COVER GASKET .,cylinder; rocker covers; rocker cover gasket,leaking,replaced
100834,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED GASKET .,intake; gasket,leaking,removed; replaced
100835,ENGINE IS DIRTY . WASHED ENGINE .,engine,dirty,washed
100836,NUMBER ONE AND NUMBER THREE INTAKES ARE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intakes; intake gasket,leaking,removed; replaced
100837,RIGHT-HAND BACK BAFFLE IS MISSING A SCREW . INSTALLED NEW BAFFLE SCREW .,baffle; screw; baffle screw,missing,installed
100838,RIGHT-HAND FRONT BAFFLE SEAL RIVET IS BROKEN . REMOVED RIVET AND REPLACED WITH A SCREW .,baffle seal rivet; rivet; screw,broken,removed; replaced
100839,CYLINDER NUMBER TWO INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING . LEAK CHECK GOOD .,cylinder; intake push rod tube inner seal,weeping,leak check
100840,CYLINDER NUMBER TWO INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING . ROTATED PUSH ROD TUBE TO RESEAT SEAL .,cylinder; intake push rod tube inner seal; push rod tube; seal,weeping,rotated; reseat
100841,"FORWARD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE . STOP DRILLED CRACKS , FABRICATED PATCH OUT OF LIKE MATER",baffle; air intake; patch; like mater,cracked; cracks,stop drilled; fabricated
100842,RIGHT-HAND SIDE OF BAFFLE IS CRACKED . STOP DRILLED CRACK .,baffle,cracked; crack,stop drilled
