issue,action,kind,record_count
ran very rough,"run up , hot",investigates,1
ran very rough,run up two number time,investigates,1
ran very rough,started,investigates,1
ran very rough,verified,investigates,1
reattached,replaced,addresses,1
red,replaced,addresses,1
red x,replaced,addresses,1
reduction in power,checks,investigates,1
reduction in power,down loaded,investigates,1
reduction in power,ran,investigates,1
rough,adjust,addresses,1
rough,adjust,investigates,1
rough,cleaned,addresses,1
rough,compression test,investigates,1
rough,dressed,investigates,1
rough,found,investigates,1
rough,ground run,investigates,1
rough,leak checked,investigates,1
rough,magnetos check,investigates,1
rough,operational,investigates,1
rough,operations,investigates,1
rough,operations checked,investigates,1
rough,ran up to check,investigates,1
rough,received,investigates,1
rough chopping noise,confirmed,investigates,1
rough chopping noise,inspecte,investigates,1
rough chopping noise,installed,investigates,1
rough chopping noise,measured,investigates,1
rough chopping noise,torqued,investigates,1
rough operation,ground run,investigates,1
rough operation,operations checked,investigates,1
rough running,check,investigates,1
rough running,compression check,investigates,1
rough running,finished reaming,addresses,1
rough running,ground run,investigates,1
rough running,installed,addresses,1
rough running,leak check,investigates,1
rough running,magnetos check,investigates,1
rough running,observed,investigates,1
rough running,ran up to check,investigates,1
rough running,run up,investigates,1
rough running,serviced,investigates,1
rough running,torqued,investigates,1
rough vibra,checks,investigates,1
rough vibra,down loaded,investigates,1
rough vibra,ran,investigates,1
roughne,operations check,investigates,1
roughne,ran up,investigates,1
roughness,checked,investigates,1
roughness,checks,investigates,1
roughness,completed reassembly,addresses,1
roughness,idle mixture check,investigates,1
roughness,inspected,investigates,1
roughness,installed,addresses,1
roughness,lowered,investigates,1
roughness,operations and leak checked,investigates,1
roughness,precautionary landing,investigates,1
roughness,prepped,investigates,1
roughness,reamed,addresses,1
roughness,reamed,investigates,1
roughness,removing,investigates,1
roughness,serviced,addresses,1
roughness,systems operations checked,investigates,1
rpm drop,mixture check,investigates,1
rpm drop,ran up,investigates,1
rpm dropped,adjusted,addresses,1
rpm dropped,checks,investigates,1
rpm dropped,maintenance flight,investigates,1
rpm dropped,operations check,investigates,1
rpm dropped,override speed check,investigates,1
rpm dropped,performed,investigates,1
rpm dropped,ran,investigates,1
rpm dropped normally,magneto check,investigates,1
rpm dropped normally,operations check,investigates,1
rpm dropped normally,ran,investigates,1
rub mark,replaced,addresses,1
rubbing,applied,addresses,1
rubbing,replaced,addresses,1
rubbing,resecured,addresses,1
rubbing,secure,addresses,1
rubbing,tightened,addresses,1
rubbing diagonal,inspection,investigates,1
rubbing together,applied,addresses,1
rubbing together,moved,addresses,1
run rough,checked,investigates,1
run rough,compression check,investigates,1
run rough,inspected,investigates,1
run rough anytim,ground run,investigates,1
run rough anytim,magneto check,investigates,1
run rough momentarily,inspection,investigates,1
run rough momentarily,replaced,addresses,1
running . extremely roug,cleared,addresses,1
running . extremely roug,ran up,investigates,1
running rough,bore scoped,investigates,1
running rough,borescoped,investigates,1
running rough,checked,investigates,1
running rough,ground ran,investigates,1
running rough,ground run,investigates,1
running rough,inspected,investigates,1
running rough,leak check,investigates,1
running rough,magneto timing checked,investigates,1
running rough,operations,investigates,1
running rough,operations and leak checked,investigates,1
running rough,operations check,investigates,1
running rough,phase four inspection,investigates,1
running rough,ran up,investigates,1
running rough,replaced,addresses,1
running very rough,complied,investigates,1
running very rough,compression check,investigates,1
running very rough,confirmed,investigates,1
running very rough,failure insp,investigates,1
running very rough,leak and operations,investigates,1
running very rough,leak and operations check,investigates,1
running very rough,ran up,investigates,1
running very rough,reamed,addresses,1
running very rough,reviewed,investigates,1
running very rough,verified,investigates,1
runs,adjusted,addresses,1
runs cold,installed,addresses,1
runs cold,started installation,addresses,1
runs cold,tappet clearance checked,investigates,1
runs rough,checked,investigates,1
runs rough,cleaned,addresses,1
runs rough,gapped,addresses,1
runs rough,inspected,investigates,1
runs rough,leak check,investigates,1
runs rough,operations check,investigates,1
runs rough,performed,investigates,1
runs rough,replaced,addresses,1
runs rough,started,investigates,1
runs rough,tested,investigates,1
runs very rough,started,investigates,1
runs very rough,verified,investigates,1
scored,tappet clearance check,investigates,1
seepage,leak check,investigates,1
seepage,replaced,addresses,1
seeping,cleaned,addresses,1
seeping,ground run,investigates,1
seeping,inspected,investigates,1
seeping,ran,investigates,1
seeping,resealed,addresses,1
seeping,safetied,investigates,1
seeping,sealed,addresses,1
shakes violently,installed,addresses,1
shakes violently,started installation,addresses,1
shakes violently,tappet clearance checked,investigates,1
shaking,completed reassembly,addresses,1
shaking,complied,investigates,1
shaking,compression check,investigates,1
shaking,failure insp,investigates,1
shaking,leak and operations,investigates,1
shaking,run up,investigates,1
shaking,serviced,addresses,1
shaking,verified,investigates,1
sheared,completed reassembly,addresses,1
sheared,drilled,addresses,1
sheared,repaired,addresses,1
sheared,resecured,addresses,1
sheared,tightened,addresses,1
shock violently,leak check,investigates,1
shock violently,operations,investigates,1
shroud opening,fabricated,addresses,1
shroud opening,installed,addresses,1
shut down,nspected,investigates,1
shut down,operations,investigates,1
shut down,operations checked,investigates,1
shutdown,magneto checks,investigates,1
shutdown,mixture check,investigates,1
shutdown,mixture idle check,investigates,1
shutdown,operations,investigates,1
shutdown,operations check,investigates,1
shutdown,reamed,addresses,1
shutdown,started,investigates,1
shutdown,verified,investigates,1
shutdown when,reamed,addresses,1
shuttered,checks,investigates,1
shuttered,ran,investigates,1
significant vibratio,ran,investigates,1
sitting,ran,investigates,1
slight drop in rpm,performed,investigates,1
slight fluctuations,inspected,investigates,1
slight power loss,differential compression test,investigates,1
sloppy,replaced,addresses,1
small dent,installed,addresses,1
smiled,inspected,investigates,1
smoked out,installed,addresses,1
smoked out,leak check,investigates,1
smoked out,magneto checks,investigates,1
smoked out,ran,investigates,1
smoking,checked,investigates,1
smoking,inspected,investigates,1
smoothed out,started,investigates,1
some noise,inspected,investigates,1
some noise,ran,investigates,1
sounded like,compression check,investigates,1
sounded like,confirmed,investigates,1
sounded like,ran,investigates,1
split,replaced,addresses,1
sput,checks,investigates,1
sput,ran,investigates,1
sputter,ground . run several times,investigates,1
sputter,ground run,investigates,1
sputter,ran,investigates,1
sputtered,ran,investigates,1
sputtering,confirmed,investigates,1
sputtering,ground run,investigates,1
sputtering,operations and leak checked,investigates,1
sputtering,ran up,investigates,1
sputtering,replaced,addresses,1
sputtering noise,checks,investigates,1
sputtering noise,ran,investigates,1
squeezed out,replaced,addresses,1
started but ran very rough,compression check,investigates,1
started but ran very rough,confirmed,investigates,1
started but ran very rough,ran,investigates,1
started making abnormal sound,ran up,investigates,1
started normally,operations,investigates,1
started normally,ran,investigates,1
started normally,ran up,investigates,1
started normally,reindexed,investigates,1
started normally,reindexed mixture linkage,investigates,1
started running rough,began performing,investigates,1
started running rough,completed reassembly,addresses,1
started running rough,confirmed,investigates,1
started running rough,ground run,investigates,1
started running rough,leak check,investigates,1
started running rough,operations,investigates,1
started running rough,operations check,investigates,1
started running rough,ran up,investigates,1
started running rough,reamed,addresses,1
started running rough,started,investigates,1
started running rough shortly,freed,investigates,1
started running rough shortly,inspected,investigates,1
started running rough shortly,ran,investigates,1
started to ru,inspect,investigates,1
started to ru,ran,investigates,1
started to smell heavy fumes,ran up,investigates,1
sticking,attempted to stake,investigates,1
sticking,installation,addresses,1
sticking,leak check,investigates,1
sticking,operations,investigates,1
strange howling noise,ground run,investigates,1
strange howling noise,inspected,investigates,1
stripped,drilled,addresses,1
stripped,drilled stripped,addresses,1
stripped,reinstalled,addresses,1
stripped,repaired,addresses,1
stripped,replaced,addresses,1
stripped,stripped,addresses,1
stuck,began reaming,addresses,1
stuck,check,investigates,1
stuck,checked,investigates,1
stuck,compression test,investigates,1
stuck,confirmed,investigates,1
stuck,dry tappet clearance check,investigates,1
stuck,finished disassembly,addresses,1
stuck,finished reaming,addresses,1
stuck,inspected,investigates,1
stuck,leak check,investigates,1
stuck,operations,investigates,1
stuck,performed,investigates,1
stuck,ran up,investigates,1
stuck,reaming,addresses,1
stuck,reasssembled,addresses,1
stuck,replaced,addresses,1
stuck,verified,investigates,1
sudden stoppage,install,addresses,1
surging,operations check,investigates,1
surging,ran,investigates,1
tapping,run up,investigates,1
tearing off,installed,addresses,1
ticking,visual inspection,investigates,1
"ticking , chirping noise",ran,investigates,1
tight,began,investigates,1
tight,inspected,investigates,1
tightening,resecured,addresses,1
timed out,engine run up,investigates,1
timed out,leak check,investigates,1
timed out,replaced,addresses,1
too long,replaced,addresses,1
too many,installed,addresses,1
too many,replaced,addresses,1
too many damaged,installed,addresses,1
too short,completed reassembly,addresses,1
too short,replace,addresses,1
too short,replaced,addresses,1
too tight,determined,investigates,1
too tight,inspected,investigates,1
torn,fastened,addresses,1
torn,found,investigates,1
torn,reattached,addresses,1
torn loose,replaced,addresses,1
uncommanded increase,inspected,investigates,1
unseated,replaced,addresses,1
unsecured,resecured,addresses,1
unsupported,resecured,addresses,1
unusual indication,compression test,investigates,1
unusual indication,confirmed,investigates,1
unusually rough,adjusted,investigates,1
unusually rough,began install,investigates,1
unusually rough,compressions checked,investigates,1
unusually rough,magneto drops check,investigates,1
unusually rough,maintenance flight,investigates,1
unusually rough,routed,investigates,1
unusually rough,started,investigates,1
very difficult,installed,addresses,1
very rough,borescop,investigates,1
very rough,completed reassembly,addresses,1
very rough,compression test,investigates,1
very rough,leak check,investigates,1
very rough,operations,investigates,1
very rough,replaced,addresses,1
very rough,torqued,investigates,1
very rough,verified,investigates,1
vibrated,checked,investigates,1
vibrated,maintenance flight,investigates,1
vibrated,operations check,investigates,1
vibrating,completed reassembly,addresses,1
vibrating,confirmed,investigates,1
vibrating,leak check,investigates,1
vibrating,operations,investigates,1
vibrating,reamed,addresses,1
vibration,began installation,addresses,1
vibration,began reaming,addresses,1
vibration,compression check,investigates,1
vibration,cylinder installation,addresses,1
vibration,engine change,addresses,1
vibration,finished installation,addresses,1
vibration,finished reaming,addresses,1
vibration,ground,investigates,1
vibration,ground run,investigates,1
vibration,inspected,investigates,1
vibration,leak check,investigates,1
vibration,magneto checks,investigates,1
vibration,mixture check,investigates,1
vibration,ran up,investigates,1
vibration,reaming,addresses,1
vibration,reinstalled,addresses,1
vibration,run up,investigates,1
vibration,taxied,investigates,1
vibration,torqued,investigates,1
vibration noise,visual inspection,investigates,1
vibrations,began,investigates,1
vibrations,completed assembly,investigates,1
vibrations,idle mixture check,investigates,1
vibrations,inspected,investigates,1
vibrations,leak check,investigates,1
vibrations,maintenance flight,investigates,1
vibrations,routed,investigates,1
vibrations,run up,investigates,1
vibrations,secured,investigates,1
waiting,installed,addresses,1
waiting,reinstalled,addresses,1
waiting,safetied,investigates,1
wallard out,installed,addresses,1
wants to die,ground run,investigates,1
wants to die,operations checked,investigates,1
weak,replaced,addresses,1
wear,applied,addresses,1
wear,finished installation,addresses,1
wear,leak check,investigates,1
wear,operations,investigates,1
wear,replaced,addresses,1
wear,torqued,addresses,1
wear marks,rtv ' ed,addresses,1
wearing,applied,addresses,1
wearing,repositioned,addresses,1
wearing,sealed,addresses,1
wearing,sealed up,addresses,1
wearing,sealed up,investigates,1
wearing into,patched,addresses,1
weeping,leak check,investigates,1
weeping,reseat,investigates,1
weeping,rotated,addresses,1
weeping fuel,inspected,investigates,1
wet with oil,magneto check,investigates,1
whistling noise,ran,investigates,1
will not make enough,inspected,investigates,1
will not make enough,replaced,addresses,1
will not make power,ran,investigates,1
will not start,run up,investigates,1
won ' t start,attempt to start,investigates,1
won ' t tighten,cleaned,addresses,1
won ' t tighten,tightened,addresses,1
won feet t go any higher,maintenance flight,investigates,1
worn,fabricated replacement,addresses,1
worn,filled,addresses,1
worn,install,addresses,1
worn,installed riveted,addresses,1
worn,ordered,addresses,1
worn,replacement,addresses,1
worn,repositioned,addresses,1
worn through,installe,addresses,1
worn through,installed,addresses,1
worn through,replacement,addresses,1
worn through,repositioned,addresses,1
would fluctuate,ran up,investigates,1
would increase significantly,ground run,investigates,1
would increase significantly,inspection,investigates,1
would increase significantly,operations checked,investigates,1
would intermittently lose,borescoped,investigates,1
would not increase,checked,investigates,1
would not increase,run up checked,investigates,1
would not latch,adjusted,addresses,1
would not latch,operations check,investigates,1
would not start,clean,addresses,1
would not start,normal engine start,investigates,1
would not start,performed normal engine start,investigates,1
would not start,ran,investigates,1
would not stay open,tightened,addresses,1
would quit,checks,investigates,1
would quit,ran,investigates,1
would rise,magneto check,investigates,1
would rise,operations check,investigates,1
would rise,ran,investigates,1
would shutdown,ground run,investigates,1
would shutdown,verified,investigates,1
would sputter when,ran up,investigates,1
would start to quit,run,investigates,1
would turn twice,started,investigates,1
wouldn ' t go to full power,compression test,investigates,1
wouldn ' t go to full power,dry tappet cl,investigates,1
wouldn ' t go to full power,ground,addresses,1
wouldn ' t go to full power,installation,addresses,1
wouldn ' t go to full power,installed,addresses,1
wouldn ' t go to full power,lapped,addresses,1
wouldn ' t start,checked,investigates,1
wouldn ' t start,started,investigates,1
wrong,installed,addresses,1
wrong,replaced,addresses,1
wrong position,installed,addresses,1
yokes,adjusted,addresses,1
zero,ground,investigates,1
zero,test,investigates,1
zero,tried staking,addresses,1
zero,tried staking,investigates,1
zero compression,dry tappet clearance checked,investigates,1
zero compression,installed,addresses,1
zero compression,leak checked,investigates,1
zero compression,ran,investigates,1
